host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,84,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,1,200,448,8,240,240,90.0,-1.0,hideit_base_patch16_224.fb_in1k,66.25,,,1.3122,66.25,100.0,,,0.0012,15.8805,0.4121,78.51,86.7802,86.7802,
camel.ee.nctu.edu.tw,84,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,10,200,448,8,240,240,90.0,-1.0,hideit_base_patch16_224.fb_in1k,71.25,,,1.2728,71.25,100.0,,,0.0013,16.0038,0.4121,78.51,86.7802,86.7802,
camel.ee.nctu.edu.tw,84,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,100,200,448,8,240,240,90.0,-1.0,hideit_base_patch16_224.fb_in1k,67.9167,,,1.288,67.91666666666667,100.0,,,0.0014,16.0503,0.4121,78.51,86.7802,86.7802,
camel.ee.nctu.edu.tw,84,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-06,,1,200,448,8,240,240,90.0,-1.0,hivit_base_patch16_224.orig_in21k,61.6667,,,2.2082,61.666666666666664,100.0,,,0.1894,16.0579,0.4121,78.51,86.7802,86.7802,
camel.ee.nctu.edu.tw,84,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-06,,10,200,448,8,240,240,90.0,-1.0,hivit_base_patch16_224.orig_in21k,63.3333,,,2.1832,63.333333333333336,100.0,,,0.1768,15.9675,0.4121,78.51,86.7802,86.7802,
camel.ee.nctu.edu.tw,84,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-06,,100,200,448,8,240,240,90.0,-1.0,hivit_base_patch16_224.orig_in21k,59.5833,,,2.277,59.583333333333336,100.0,,,0.1911,16.1002,0.4121,78.51,86.7802,86.7802,
camel.ee.nctu.edu.tw,84,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,1,200,448,8,984,990,70.0,-1.0,hideit_base_patch16_224.fb_in1k,81.2121,,,0.8062,81.21212118129537,100.0,,,0.0005,54.919,0.4141,78.5101,86.856,86.856,
gpu,84,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,1,200,448,8,984,990,90.0,-1.0,hideit_base_patch16_224.fb_in1k,81.9192,,,0.7671,81.919191903779,100.0,,,0.0006,87.3757,0.4141,67.1518,86.8794,86.8794,
camel.ee.nctu.edu.tw,84,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,10,200,448,8,984,990,70.0,-1.0,hideit_base_patch16_224.fb_in1k,82.9293,,,0.7978,82.92929291388,100.0,,,0.0005,54.666,0.4141,78.5101,86.856,86.856,
gpu,84,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,10,200,448,8,984,990,90.0,-1.0,hideit_base_patch16_224.fb_in1k,82.7273,,,0.7847,82.72727269644689,100.0,,,0.0006,87.5366,0.4141,67.1518,86.8794,86.8794,
camel.ee.nctu.edu.tw,84,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,100,200,448,8,984,990,70.0,-1.0,hideit_base_patch16_224.fb_in1k,79.596,,,0.9006,79.59595958054668,100.0,,,0.0006,54.8124,0.4141,78.5101,86.856,86.856,
gpu,84,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,100,200,448,8,984,990,90.0,-1.0,hideit_base_patch16_224.fb_in1k,82.6263,,,0.8176,82.62626261084971,100.0,,,0.0007,87.2176,0.4141,67.1518,86.8794,86.8794,
camel.ee.nctu.edu.tw,84,soyageing_r1,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.03,,1,200,448,8,984,990,70.0,-1.0,hivit_base_patch16_224.orig_in21k,81.9192,,,0.761,81.919191903779,100.0,,,0.0003,52.2676,0.4141,78.5101,86.856,86.856,
camel.ee.nctu.edu.tw,84,soyageing_r1,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.03,,10,200,448,8,984,990,70.0,-1.0,hivit_base_patch16_224.orig_in21k,83.5354,,,0.7207,83.5353535045277,100.0,,,0.0003,52.2356,0.4141,78.5101,86.856,86.856,
camel.ee.nctu.edu.tw,84,soyageing_r1,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.03,,100,200,448,8,984,990,70.0,-1.0,hivit_base_patch16_224.orig_in21k,82.8283,,,0.7771,82.82828279745699,100.0,,,0.0003,52.3114,0.4141,78.5101,86.856,86.856,
