host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,6664,3333,25,-1,hideit3_base_patch16_224.fb_in1k,89.619,,,1.0526,89.61896189618962,99.895,,,0.0159,81.5111,0.4434,67.1662,86.7756,86.7756,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,88.6289,,,1.028,88.62886288628863,99.6399,,,0.0409,81.727,0.4434,67.1662,86.7907,86.7907,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,6664,3333,70,-1,hideit3_base_patch16_224.fb_in1k,88.6289,,,1.0266,88.62886288628863,99.7599,,,0.0309,81.6462,0.4434,67.1662,86.8027,86.8027,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,6664,3333,25,-1,hideit3_base_patch16_224.fb_in1k,89.3189,,,1.0151,89.31893189318932,99.7599,,,0.0211,81.5093,0.4434,67.1662,86.7756,86.7756,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,88.5689,,,1.0464,88.56885688568858,99.8199,,,0.0299,81.5685,0.4434,67.1662,86.7907,86.7907,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,6664,3333,70,-1,hideit3_base_patch16_224.fb_in1k,88.0588,,,1.1337,88.05880588058805,99.8649,,,0.0127,81.4995,0.4434,67.1662,86.8027,86.8027,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,6664,3333,25,-1,hideit3_base_patch16_224.fb_in1k,87.6688,,,1.4166,87.66876687668767,99.985,,,0.0003,81.4202,0.4434,67.1662,86.7756,86.7756,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,87.9088,,,1.3123,87.9087908790879,100.0,,,0.0,81.7499,0.4434,67.1662,86.7907,86.7907,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,6664,3333,70,-1,hideit3_base_patch16_224.fb_in1k,86.7387,,,1.3751,86.73867386738674,99.925,,,0.0154,81.6818,0.4434,67.1662,86.8027,86.8027,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,6664,3333,25,-1,hideit3_base_patch16_224.fb_in1k,85.4485,,,1.5923,85.44854485448545,99.97,,,0.0041,81.3619,0.4434,67.1662,86.7756,86.7756,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,84.7885,,,1.8076,84.78847884788479,99.97,,,0.0008,81.879,0.4434,67.1662,86.7907,86.7907,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,6664,3333,70,-1,hideit3_base_patch16_224.fb_in1k,84.8185,,,1.8036,84.81848184818482,100.0,,,0.0,81.9551,0.4434,67.1662,86.8027,86.8027,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,6664,3333,25,-1,hideit3_base_patch16_224.fb_in1k,13.5314,,,4.0986,13.531353135313532,35.1441,,,4.1453,81.5709,0.4434,67.1662,86.7756,86.7756,
hgpn06,40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,71.0471,,,1.9079,71.04710471047105,100.0,,,0.0002,82.2712,0.4434,67.1662,86.7907,86.7907,
