host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,25,448,8,6667,3333,,,,92.0792,,,0.3767,92.07920792079209,100.0,,,0.0014,50.8516,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,50,448,8,6667,3333,,,,92.2892,,,0.423,92.28922892289228,100.0,,,0.0002,100.4909,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,75,448,8,6667,3333,,,,92.5293,,,0.4156,92.52925292529252,100.0,,,0.0001,150.4809,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,100,448,8,6667,3333,,,,92.2892,,,0.4267,92.28922892289228,100.0,,,0.0001,200.2767,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,125,448,8,6667,3333,,,,92.1692,,,0.443,92.16921692169215,100.0,,,0.0001,250.171,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,150,448,8,6667,3333,,,,92.6193,,,0.4357,92.61926192619262,100.0,,,0.0,300.003,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,175,448,8,6667,3333,,,,92.3492,,,0.4296,92.34923492349236,100.0,,,0.0,350.2129,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,200,448,8,6667,3333,,,,92.1392,,,0.4572,92.13921392139214,100.0,,,0.0,399.9381,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,225,448,8,6667,3333,,,,92.3792,,,0.4591,92.37923792379236,100.0,,,0.0,450.2455,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,64,aircraft_baseline,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,250,448,8,6667,3333,,,,92.1992,,,0.4615,92.1992199219922,100.0,,,0.0,500.1581,0.4121,67.1662,86.7906,86.7906,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,25,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,91.7792,,,0.3808,91.77917791779178,99.97,,,0.0056,50.8054,0.4121,67.1662,86.7907,86.7907,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,50,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,92.1092,,,0.4404,92.10921092109211,99.985,,,0.0011,100.7911,0.4121,67.1662,86.7907,86.7907,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,75,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,92.2592,,,0.4724,92.25922592259226,100.0,,,0.0003,150.8914,0.4121,67.1662,86.7907,86.7907,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,100,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,,,,,,,,,,,,,,,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,150,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,,,,,,,,,,,,,,,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,25,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,91.8092,,,0.3885,91.8091809180918,99.97,,,0.0054,50.6364,0.4121,67.1662,86.7907,86.7907,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,50,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,91.7492,,,0.4428,91.74917491749174,100.0,,,0.0005,100.4582,0.4121,67.1662,86.7907,86.7907,
pcs5060ti-MS-7E45,65,aircraft_pl,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0,0.01,,0,75,448,8,6664,3333,50.0,-1.0,hideit3_base_patch16_224.fb_in1k,92.1992,,,0.4755,92.1992199219922,100.0,,,0.0003,150.2531,0.4121,67.1662,86.7907,86.7907,
