host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-06,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,87.8488,,,0.9152,87.84878488,99.4148,,,0.0605,170.5798,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-06,,0,50,448,8,6664,3333,50,-1,hideit3_huge_patch16_224.fb_in1k,88.0888,,,0.8324,88.08880888,99.0996,,,0.0875,169.4553,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-06,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,89.3489,,,0.7526,89.34893489,99.1146,,,0.0886,169.8755,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-06,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,88.3288,,,0.8409,88.32883288,99.1747,,,0.0843,175.708,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,1.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,87.4887,,,0.9451,87.48874887,99.3547,,,0.065,166.544,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,1.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_huge_patch16_224.fb_in1k,87.6088,,,0.9537,87.60876088,99.3697,,,0.0726,168.5228,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,1.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,89.559,,,0.7723,89.5589559,99.6999,,,0.0286,172.1193,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,1.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,89.0789,,,0.8625,89.07890789,99.5348,,,0.056,176.5077,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,89.589,,,0.9719,89.5889589,99.895,,,0.008,165.9537,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_huge_patch16_224.fb_in1k,88.9889,,,0.9096,88.98889889,99.8199,,,0.0209,166.1553,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,89.559,,,0.927,89.5589559,99.895,,,0.014,172.1433,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,5.00E-05,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,88.6889,,,1.0511,88.68886889,99.925,,,0.0107,170.3558,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0001,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,87.4887,,,1.1355,87.48874887,99.895,,,0.0065,168.3009,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0001,,0,50,448,8,6664,3333,50,-1,hideit3_huge_patch16_224.fb_in1k,86.8287,,,1.1488,86.82868287,99.925,,,0.0088,169.6032,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0001,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,87.9088,,,1.0505,87.90879088,99.94,,,0.0051,171.3275,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0001,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,88.0588,,,1.1111,88.05880588,99.94,,,0.008,166.0346,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0005,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,51.2751,,,1.8652,51.27512751,75.7803,,,1.5603,173.0314,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0005,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,71.8572,,,1.3005,71.85718572,99.5198,,,0.0564,173.0795,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.0005,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,44.9445,,,2.2565,44.94449445,73.2293,,,1.7836,166.8188,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.001,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,7.6208,,,4.0932,7.620762076,8.2083,,,7.274,164.3013,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.001,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,4.2904,,,4.3409,4.290429043,4.877,,,7.74,161.4139,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,adamw,0.05,0.001,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,,,,,,,,,,,,,,,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,sgd,0,0.003,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,90.279,,,0.4078,90.2790279,99.97,,,0.0143,173.0047,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,sgd,0,0.003,,0,50,448,8,6664,3333,50,-1,hideit3_huge_patch16_224.fb_in1k,90.6691,,,0.4094,90.66906691,99.88,,,0.0171,170.3938,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,sgd,0,0.003,,0,50,448,8,6664,3333,50,-1,hideit3_large_patch16_224.fb_in1k,90.7891,,,0.4057,90.78907891,99.97,,,0.0139,169.0851,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,sgd,0,0.003,,0,50,448,8,6664,3333,50,-1,hideit3_small_patch16_224.fb_in1k,90.6391,,,0.4225,90.63906391,99.91,,,0.0147,168.4452,0.4121,67.1662,86.7907,86.7907,
gpu,70,aircraft_pl,hideit3_base_patch16_224.fb_in1k,FALSE,,,,sgd,0,0.01,,0,50,448,8,6664,3333,50,-1,hideit3_base_patch16_224.fb_in1k,91.8992,,,0.4413,91.89918992,100,,,0.0005,171.065,0.4121,67.1662,86.7907,86.7907,
