host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,10.0,,,58.8333,,,2.5189,58.833333333333336,100.0,,,0.0648,39.9451,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,20.0,,,58.3333,,,2.4591,58.333333333333336,100.0,,,0.0593,39.6648,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,30.0,,,57.0,,,2.5083,57.0,100.0,,,0.0626,39.6711,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,40.0,,,57.1667,,,2.4612,57.166666666666664,100.0,,,0.0636,39.8875,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,50.0,,,58.6667,,,2.473,58.666666666666664,100.0,,,0.0591,39.9894,0.4141,78.5245,86.8508,86.8508,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,70.0,,,59.8333,,,2.4254,59.833333333333336,100.0,,,0.0629,40.8254,0.4141,78.5245,86.8748,86.8748,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,90.0,,,61.8333,,,2.4193,61.833333333333336,100.0,,,0.0645,39.0787,0.4141,78.5246,86.8989,86.8989,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,10.0,,,56.3333,,,2.3187,56.333333333333336,100.0,,,0.0184,40.2014,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,20.0,,,56.3333,,,2.2742,56.333333333333336,100.0,,,0.0175,39.2012,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,30.0,,,55.1667,,,2.3571,55.166666666666664,100.0,,,0.0178,39.9128,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,40.0,,,55.5,,,2.3003,55.5,100.0,,,0.0177,39.4822,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,50.0,,,58.5,,,2.2963,58.5,100.0,,,0.0169,39.5753,0.4141,78.5245,86.8508,86.8508,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,70.0,,,56.1667,,,2.2452,56.166666666666664,100.0,,,0.0178,39.6149,0.4141,78.5245,86.8748,86.8748,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,600,600,90.0,,,61.3333,,,2.2313,61.333333333333336,100.0,,,0.0179,39.5569,0.4141,78.5246,86.8989,86.8989,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,10.0,,,42.5,,,2.862,42.5,100.0,,,0.0006,39.7027,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,20.0,,,50.1667,,,2.4408,50.166666666666664,100.0,,,0.0003,39.2122,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,30.0,,,46.8333,,,2.5448,46.833333333333336,100.0,,,0.0003,39.8218,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,40.0,,,49.3333,,,2.5241,49.333333333333336,100.0,,,0.0003,39.5008,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,50.0,,,50.1667,,,2.3767,50.166666666666664,100.0,,,0.0003,39.7855,0.4141,78.5245,86.8508,86.8508,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,70.0,,,50.6667,,,2.3525,50.666666666666664,100.0,,,0.0003,38.632,0.4141,78.5245,86.8748,86.8748,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,600,600,90.0,,,57.3333,,,2.0812,57.333333333333336,100.0,,,0.0003,40.0695,0.4141,78.5246,86.8989,86.8989,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,10.0,,,36.3333,,,3.6665,36.333333333333336,100.0,,,0.0002,39.587,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,20.0,,,43.0,,,3.6909,43.0,100.0,,,0.0001,39.4726,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,30.0,,,39.0,,,4.0176,39.0,100.0,,,0.0001,39.4976,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,40.0,,,38.1667,,,3.9592,38.166666666666664,100.0,,,0.0001,39.2578,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,50.0,,,37.6667,,,3.5218,37.666666666666664,99.8333,,,0.012,39.5044,0.4141,78.5245,86.8508,86.8508,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,70.0,,,44.3333,,,3.3504,44.333333333333336,100.0,,,0.0001,38.8691,0.4141,78.5245,86.8748,86.8748,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,600,600,90.0,,,49.3333,,,2.9853,49.333333333333336,100.0,,,0.0001,39.8862,0.4141,78.5246,86.8989,86.8989,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,10.0,,,35.8333,,,2.648,35.833333333333336,92.0,,,1.238,39.6163,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,20.0,,,42.8333,,,2.5849,42.833333333333336,99.8333,,,0.0941,39.3511,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,30.0,,,41.5,,,2.5883,41.5,99.3333,,,0.3088,39.3258,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,40.0,,,51.3333,,,2.3139,51.333333333333336,100.0,,,0.007,39.0815,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,50.0,,,46.6667,,,2.5221,46.666666666666664,100.0,,,0.0161,39.7737,0.4141,78.5245,86.8508,86.8508,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,70.0,,,46.5,,,2.4177,46.5,100.0,,,0.0041,39.4166,0.4141,78.5245,86.8748,86.8748,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,600,600,90.0,,,34.0,,,2.8855,34.0,91.5,,,0.7496,40.1684,0.4141,78.5246,86.8989,86.8989,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,10.0,,,22.3333,,,3.1064,22.333333333333332,59.3333,,,2.9384,39.7798,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,20.0,,,32.0,,,2.7643,32.0,79.5,,,2.2191,39.0611,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,30.0,,,26.1667,,,3.0713,26.166666666666668,66.1667,,,2.7718,39.335,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,40.0,,,30.5,,,2.827,30.5,81.3333,,,1.9521,38.7928,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,50.0,,,22.8333,,,3.2679,22.833333333333332,55.8333,,,3.407,39.2248,0.4141,78.5245,86.8508,86.8508,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,70.0,,,25.6667,,,3.1255,25.666666666666668,69.3333,,,2.5103,39.4045,0.4141,78.5245,86.8748,86.8748,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,600,600,90.0,,,26.6667,,,3.0518,26.666666666666668,63.0,,,2.843,39.5895,0.4141,78.5246,86.8989,86.8989,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,600,600,10.0,,,54.5,,,2.5553,54.5,100.0,,,0.4293,38.0785,0.4121,78.5245,86.8027,86.8027,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,600,600,20.0,,,54.8333,,,2.5086,54.833333333333336,100.0,,,0.4395,38.0288,0.4121,78.5245,86.8147,86.8147,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,600,600,30.0,,,48.8333,,,2.6434,48.833333333333336,100.0,,,0.511,37.6937,0.4121,78.5245,86.8268,86.8268,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,600,600,40.0,,,52.5,,,2.5404,52.5,100.0,,,0.5308,37.2534,0.4121,78.5245,86.8388,86.8388,
camel.ee.nctu.edu.tw,54,soylocal,hideit3_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,600,600,50.0,,,53.6667,,,2.5509,53.666666666666664,100.0,,,0.5296,37.9757,0.4141,78.5245,86.8508,86.8508,
