host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,160,80,,,,33.75,,,2.8727,33.75,100.0,,,0.0084,11.0891,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,160,80,,,,32.5,,,2.8511,32.5,100.0,,,0.0052,11.045,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,160,80,,,,33.75,,,2.7639,33.75,100.0,,,0.0012,11.059,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,160,80,,,,35.0,,,2.8307,35.0,100.0,,,0.0006,11.0596,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,160,80,,,,37.5,,,3.3222,37.5,100.0,,,0.0001,10.8751,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,160,80,,,,26.25,,,4.7807,26.25,100.0,,,0.0004,10.9882,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,160,80,,,,31.25,,,2.8,31.25,100.0,,,0.0137,10.66,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,160,80,,,,30.0,,,2.7858,30.0,100.0,,,0.0015,10.7323,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,160,80,,,,31.25,,,2.8328,31.25,100.0,,,0.0004,10.704,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,160,80,,,,33.75,,,3.715,33.75,100.0,,,0.0001,10.6475,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-06,,0,200,448,8,160,80,,,,32.5,,,2.9985,32.5,100.0,,,0.0132,10.9793,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,1e-05,,0,200,448,8,160,80,,,,35.0,,,2.9203,35.0,100.0,,,0.0077,10.9731,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-05,,0,200,448,8,160,80,,,,36.25,,,2.8206,36.25,100.0,,,0.0015,10.9922,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,0.0001,,0,200,448,8,160,80,,,,38.75,,,2.7672,38.75,100.0,,,0.0008,12.1417,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,0.0005,,0,200,448,8,160,80,,,,33.75,,,3.3521,33.75,100.0,,,0.0001,10.9601,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,0.001,,0,200,448,8,160,80,,,,28.75,,,4.6619,28.75,100.0,,,0.0004,11.2832,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.003,,0,200,448,8,160,80,,,,42.5,,,2.8361,42.5,100.0,,,0.0149,10.613,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.01,,0,200,448,8,160,80,,,,43.75,,,2.8955,43.75,100.0,,,0.0017,10.5399,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.03,,0,200,448,8,160,80,,,,38.75,,,3.0052,38.75,100.0,,,0.0004,10.4596,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,81,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.1,,0,200,448,8,160,80,,,,40.0,,,3.8582,40.0,100.0,,,0.0,10.6708,0.4121,78.51,86.7609,86.7609,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,792,198,,,,81.8182,,,0.6519,81.81818174111723,100.0,,,0.0005,73.398,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,792,198,,,,82.8283,,,0.6609,82.82828275121824,100.0,,,0.0002,72.9441,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,200,448,8,792,198,,,,81.3131,,,0.863,81.31313131313131,100.0,,,0.0001,72.647,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,200,448,8,792,198,,,,83.3333,,,1.0867,83.33333317920415,100.0,,,0.0,72.3573,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,792,198,,,,83.3333,,,0.8352,83.33333333333333,100.0,,,0.0004,72.186,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,792,198,,,,50.0,,,2.9944,49.99999992293541,99.2424,,,0.0408,71.7827,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,792,198,,,,83.8384,,,0.6005,83.83838368425465,100.0,,,0.0074,70.9174,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,792,198,,,,85.3535,,,0.5537,85.35353519940617,100.0,,,0.0008,70.8323,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,792,198,,,,85.8586,,,0.5296,85.85858570445667,100.0,,,0.0002,70.4525,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,792,198,,,,77.2727,,,0.9044,77.27272727272727,100.0,,,0.0001,70.1199,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-06,,0,200,448,8,792,198,,,,81.3131,,,0.7585,81.31313115900213,100.0,,,0.0009,72.9298,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,1e-05,,0,200,448,8,792,198,,,,78.2828,,,1.029,78.28282820576369,99.6212,,,0.0236,72.5312,0.4121,67.1518,86.8318,86.8318,
gpu,81,soyageing_r1,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-05,,0,200,448,8,792,198,,,,76.7677,,,1.1585,76.76767669061218,100.0,,,0.0,71.4094,0.4121,67.1518,86.8318,86.8318,
