host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,240,240,,,,60.4167,,,2.3388,60.416666666666664,100.0,,,0.4908,3.7839,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,50,448,8,240,240,,,,65.0,,,2.1118,65.0,100.0,,,0.2377,3.7248,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-05,,0,50,448,8,240,240,,,,69.1667,,,1.5851,69.16666666666667,100.0,,,0.0111,3.7799,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0001,,0,50,448,8,240,240,,,,68.3333,,,1.4236,68.33333333333333,100.0,,,0.0045,3.7415,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.0005,,0,50,448,8,240,240,,,,56.25,,,1.5863,56.25,100.0,,,0.001,3.731,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,0.001,,0,50,448,8,240,240,,,,54.5833,,,2.02,54.583333333333336,100.0,,,0.006,3.732,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.003,,0,50,448,8,240,240,,,,48.3333,,,2.5582,48.333333333333336,96.25,,,1.3809,3.6171,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.01,,0,50,448,8,240,240,,,,63.3333,,,1.5508,63.333333333333336,100.0,,,0.0454,3.5806,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.03,,0,50,448,8,240,240,,,,67.0833,,,1.2563,67.08333333333333,100.0,,,0.0019,3.6044,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hideit_base_patch16_224.fb_in1k,False,,,,sgd,0.0,0.1,,0,50,448,8,240,240,,,,60.8333,,,1.5602,60.833333333333336,100.0,,,0.0004,3.5798,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-06,,0,50,448,8,240,240,,,,53.75,,,2.6159,53.75,100.0,,,0.8064,3.7548,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,1e-05,,0,50,448,8,240,240,,,,55.8333,,,2.4033,55.833333333333336,100.0,,,0.4538,3.7717,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,5e-05,,0,50,448,8,240,240,,,,63.75,,,1.6948,63.75,100.0,,,0.0161,3.7339,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,0.0001,,0,50,448,8,240,240,,,,65.0,,,1.4826,65.0,100.0,,,0.006,3.7433,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,0.0005,,0,50,448,8,240,240,,,,58.3333,,,1.5126,58.333333333333336,100.0,,,0.0009,3.7474,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,adamw,0.05,0.001,,0,50,448,8,240,240,,,,50.4167,,,2.0228,50.416666666666664,100.0,,,0.0038,3.7447,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.003,,0,50,448,8,240,240,,,,42.9167,,,2.6559,42.916666666666664,95.0,,,1.4185,3.5921,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.01,,0,50,448,8,240,240,,,,52.9167,,,1.8012,52.916666666666664,100.0,,,0.0557,3.6178,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.03,,0,50,448,8,240,240,,,,58.75,,,1.4998,58.75,100.0,,,0.0023,3.5964,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,cotton,hivit_base_patch16_224.orig_in21k,False,,,,sgd,0.0,0.1,,0,50,448,8,240,240,,,,66.25,,,1.3456,66.25,100.0,,,0.0005,3.6196,0.4121,78.51,86.7609,86.7609,
camel.ee.nctu.edu.tw,83,soyageing,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,4950,4950,,,,84.7677,,,0.6213,84.7676767615116,99.8584,,,0.0131,68.5886,0.4121,78.51,86.8318,86.8318,
