host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,55.1667,,,3.0023,55.166666666666664,99.8333,,,1.2687,9.3123,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,42.8333,,,3.3005,42.833333333333336,93.1667,,,2.0854,9.3425,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,42.0,,,3.3324,42.0,82.1667,,,2.5361,9.3007,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,43.1667,,,3.271,43.166666666666664,94.6667,,,1.9992,17.9768,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,44.5,,,3.2949,44.5,84.0,,,2.4669,9.3182,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,54.8333,,,3.0334,54.833333333333336,98.8333,,,1.5049,9.3537,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,51.6667,,,3.1507,51.666666666666664,98.6667,,,1.5756,9.3643,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,49.6667,,,3.1359,49.666666666666664,99.0,,,1.5985,9.2792,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,53.1667,,,3.0702,53.166666666666664,99.5,,,1.4339,14.1285,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,53.0,,,3.0568,53.0,99.3333,,,1.4189,9.3362,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,56.8333,,,3.2859,56.833333333333336,99.8333,,,1.741,9.3291,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,78,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,42.5,,,3.291,42.5,81.6667,,,2.671,9.4377,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,47.0,,,3.9159,47.0,97.6667,,,5.5134,9.3754,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,37.3333,,,4.0838,37.333333333333336,83.0,,,6.5045,9.3677,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,34.6667,,,4.1165,34.666666666666664,66.1667,,,7.0297,9.3663,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,40.3333,,,4.0596,40.333333333333336,88.0,,,6.3859,17.9693,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,34.8333,,,4.0803,34.833333333333336,72.1667,,,6.9124,9.4073,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,48.8333,,,3.91,48.833333333333336,92.1667,,,5.8147,9.3906,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,44.8333,,,3.9942,44.833333333333336,91.5,,,5.9201,9.4569,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,44.1667,,,4.002,44.166666666666664,93.0,,,5.9598,9.3901,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,45.6667,,,3.9655,45.666666666666664,94.8333,,,5.7164,14.3117,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,49.0,,,3.9413,49.0,95.6667,,,5.6911,9.4034,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,48.8333,,,4.0701,48.833333333333336,98.0,,,6.0685,9.4185,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,79,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,38.1667,,,4.0744,38.166666666666664,70.0,,,7.0899,9.5632,0.4141,78.5101,86.8812,86.8812,
