host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,4,600,600,,,,50.3333,,,2.9829,50.333333333333336,99.0,,,1.5754,14.8047,0.4121,67.1518,86.833,86.833,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,53.1667,,,3.0272,53.166666666666664,100.0,,,1.2521,13.1809,0.4121,67.1518,86.833,86.833,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,16,600,600,,,,50.0,,,3.3445,50.0,99.3243,,,1.8129,12.0501,0.4121,67.1518,86.833,86.833,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,32,600,600,,,,38.8333,,,3.7748,38.833333282470704,89.4097,,,2.7647,11.5159,0.4121,67.1518,86.833,86.833,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,64,600,600,,,,,,,,,,,,,,,,,,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,128,600,600,,,,,,,,,,,,,,,,,,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,256,600,600,,,,,,,,,,,,,,,,,,
gpu,72,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,512,600,600,,,,,,,,,,,,,,,,,,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,4,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,45.0,,,3.8953,45.0,92.1667,,,5.8908,14.9506,0.4141,67.1518,86.8812,86.8812,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,51.3333,,,3.9178,51.333333333333336,97.6667,,,5.4924,13.2789,0.4141,67.1518,86.8812,86.8812,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,16,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,41.0,,,4.1351,41.0,93.2432,,,6.3651,12.1253,0.4141,67.1518,86.8812,86.8812,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,32,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,33.1667,,,4.4134,33.16666661580404,76.2153,,,7.5462,11.5083,0.4141,67.1518,86.8812,86.8812,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,64,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,,,,,,,,,,,,,,,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,128,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,,,,,,,,,,,,,,,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,256,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,,,,,,,,,,,,,,,
gpu,73,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,512,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,,,,,,,,,,,,,,,
