host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,25,448,8,600,600,,,,38.5,,,3.6865,38.5,81.5,,,3.0056,4.8029,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,55.5,,,3.0019,55.5,99.8333,,,1.2696,9.242,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,75,448,8,600,600,,,,60.0,,,2.535,60.0,100.0,,,0.3437,13.8125,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,100,448,8,600,600,,,,62.5,,,2.1927,62.5,100.0,,,0.0673,18.291,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,125,448,8,600,600,,,,62.6667,,,1.9323,62.666666666666664,100.0,,,0.016,22.973,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,150,448,8,600,600,,,,63.8333,,,1.8271,63.833333333333336,100.0,,,0.0077,27.4188,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,175,448,8,600,600,,,,65.0,,,1.7514,65.0,100.0,,,0.0037,32.0237,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,600,600,,,,65.1667,,,1.7453,65.16666666666667,100.0,,,0.002,36.4981,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,225,448,8,600,600,,,,64.8333,,,1.6473,64.83333333333333,100.0,,,0.001,41.0791,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,74,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,250,448,8,600,600,,,,65.0,,,1.6161,65.0,100.0,,,0.0007,45.435,0.4121,78.51,86.833,86.833,
camel.ee.nctu.edu.tw,75,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,25,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,33.3333,,,4.4107,33.333333333333336,67.3333,,,7.7427,4.847,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,75,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,46.8333,,,3.9159,46.833333333333336,97.5,,,5.5135,9.3754,0.4141,78.5101,86.8812,86.8812,
camel.ee.nctu.edu.tw,75,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,75,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,56.3333,,,3.5986,56.333333333333336,100.0,,,3.5375,13.9297,0.4141,78.5101,86.8812,86.8812,
