host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,112,8,600,600,,,,31.5,,,3.5727,31.5,88.0,,,2.2182,3.4344,0.375,4.3233,86.2686,86.2686,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,168,8,600,600,,,,37.5,,,3.4211,37.5,95.8333,,,1.8484,3.8434,0.377,8.8279,86.3077,86.3077,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,224,8,600,600,,,,42.8333,,,3.2974,42.833333333333336,99.1667,,,1.5056,4.8397,0.377,17.5674,86.3815,86.3815,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,280,8,600,600,,,,47.0,,,3.1676,47.0,99.5,,,1.4067,5.5156,0.3789,26.3578,86.4529,86.4529,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,336,8,600,600,,,,51.3333,,,3.125,51.333333333333336,99.5,,,1.3775,6.8795,0.373,41.4112,86.5696,86.5696,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,392,8,600,600,,,,54.3333,,,3.0593,54.333333333333336,99.8333,,,1.2624,8.1077,0.373,55.4952,86.6733,86.6733,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,,,,54.6667,,,3.0096,54.666666666666664,99.8333,,,1.269,10.808,0.3926,78.51,86.833,86.833,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,504,8,600,600,,,,53.8333,,,3.0556,53.833333333333336,100.0,,,1.2494,12.7462,0.4043,99.3508,86.969,86.969,
fae-G493-ZB3-AAP1-000,76,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,560,8,600,600,,,,57.8333,,,2.917,57.833333333333336,100.0,,,1.1489,15.5634,0.4238,132.5812,87.1717,87.1717,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,112,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,27.5,,,4.2478,27.5,77.5,,,6.6545,3.5179,0.375,4.3233,86.3167,86.3167,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,168,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,31.5,,,4.1796,31.5,90.6667,,,6.2115,3.8731,0.377,8.828,86.3559,86.3559,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,224,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,36.8333,,,4.1211,36.833333333333336,93.8333,,,6.0113,4.8301,0.377,17.5675,86.4296,86.4296,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,280,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,43.3333,,,4.0619,43.333333333333336,93.5,,,5.8856,5.6138,0.3789,26.3578,86.5011,86.5011,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,336,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,46.0,,,4.0059,46.0,97.6667,,,5.665,7.111,0.373,41.4113,86.6178,86.6178,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,392,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,48.6667,,,3.9778,48.666666666666664,98.6667,,,5.5624,8.1544,0.373,55.4953,86.7215,86.7215,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,448,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,49.5,,,3.9567,49.5,97.8333,,,5.5099,10.8093,0.3926,78.5101,86.8812,86.8812,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,504,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,48.3333,,,3.9527,48.333333333333336,97.6667,,,5.5073,13.0753,0.4043,99.3508,87.0172,87.0172,
fae-G493-ZB3-AAP1-000,77,soylocal,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,50,560,8,600,600,90.0,-1.0,hideit_base_patch16_224.fb_in1k,51.0,,,3.944,51.0,97.3333,,,5.3812,15.4833,0.4238,132.5813,87.2199,87.2199,
