method,Aircraft,Cars,CUB,Average
ViT,86.58,86.37,82.91,85.2
DeiT,89.25,86.94,81.66,85.8
ViT IN21k-P,86.32,78.45,82.95,82.44
DeiT 3 (IN1k),88.69,85.44,83.89,86.01
DeiT 3 (IN21k),88.03,85.57,82.85,85.48
ViT MoCo v3,84.88,80.78,81.39,82.35
ViT DINO,70.83,62.14,74.92,69.3
ViT CLIP,66.9,63.97,56.42,62.19
ViT SigLIP v2,79.82,78.84,77.18,78.56
ViT MAE,77.04,82.18,71.71,76.59
RN TV1,93.0,92.73,85.54,90.42
RN TV2,93.15,93.19,86.34,90.89
RN Gluon,92.66,92.42,84.45,89.84
RN A1,91.62,91.84,85.13,89.53
RN IN21k-P,92.47,92.87,87.01,90.79
RN IG1b,92.76,91.24,83.92,89.31
RN YFCC100m,92.58,92.35,84.26,89.73
RN MoCo v3,93.28,93.26,86.27,90.94
RN SupCon,92.89,92.58,83.77,89.74
RN SwAV,93.12,93.04,87.21,91.12
RN SparK,88.91,88.98,74.0,83.96
