serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
23,ft_448,aircraft,hivit_base_patch16_224.orig_in21k,86.58,4.72,91.1131113111311,76.68466846684669,5.457025659365362,86.58\pm{4.72},86.58+-4.72
23,ft_448,aircraft,hideit_base_patch16_224.fb_in1k,89.25,3.79,92.95829582958297,80.66906690669066,4.245662198337791,89.25\pm{3.79},89.25+-3.79
23,ft_448,aircraft,hivit_base_patch16_224_miil.in21k,86.32,6.1,92.25622562256224,72.48724872487249,7.072297926011436,86.32\pm{6.1},86.32+-6.1
23,ft_448,aircraft,hideit3_base_patch16_224.fb_in1k,88.69,6.09,93.59135913591358,73.55985598559856,6.868323034168007,88.69\pm{6.09},88.69+-6.09
23,ft_448,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,88.03,9.44,94.1029102910291,63.63036303630363,10.72843733866328,88.03\pm{9.44},88.03+-9.44
23,ft_448,aircraft,hivit_base_patch16_224.in1k_mocov3,84.88,11.95,91.77767776777677,52.24122412241224,14.079076994649013,84.88\pm{11.95},84.88+-11.95
23,ft_448,aircraft,hivit_base_patch16_224.dino,70.83,27.93,89.06240624062406,13.86888688868887,39.42907326773271,70.83\pm{27.93},70.83+-27.93
23,ft_448,aircraft,hivit_base_patch16_clip_224.laion2b,66.9,26.45,89.5994599459946,20.10801080108011,39.53536032407303,66.9\pm{26.45},66.9+-26.45
23,ft_448,aircraft,hivit_base_patch16_siglip_224.v2_webli,79.82,20.49,95.03750375037504,43.65436543654366,25.66900808276914,79.82\pm{20.49},79.82+-20.49
23,ft_448,aircraft,hivit_base_patch16_224.mae,77.04,19.11,90.35403540354037,39.71497149714971,24.802834582165715,77.04\pm{19.11},77.04+-19.11
23,ft_448,aircraft,hiresnet50.tv_in1k,93.0,0.99,94.39093909390938,91.3906390639064,1.0664796374733878,93.0\pm{0.99},93.0+-0.99
23,ft_448,aircraft,hiresnet50.tv2_in1k,93.15,0.78,94.1029102910291,91.81968196819682,0.8349678127188818,93.15\pm{0.78},93.15+-0.78
23,ft_448,aircraft,hiresnet50.gluon_in1k,92.66,1.08,94.33993399339934,91.05910591059106,1.163479843062789,92.66\pm{1.08},92.66+-1.08
23,ft_448,aircraft,hiresnet50.a1_in1k,91.62,1.89,93.6018601860186,87.30873087308731,2.063596938946918,91.62\pm{1.89},91.62+-1.89
23,ft_448,aircraft,hiresnet50.in21k_miil,92.47,0.93,93.90246716979392,90.6921461376907,1.0020159835853906,92.47\pm{0.93},92.47+-0.93
