serial,dataset_name,method,acc,acc_std,acc_max,acc_min,acc_z_score,acc_std_z_score,acc_max_z_score,acc_min_z_score
23,aircraft,hivit_base_patch16_224.orig_in21k,84.0,5.25,89.2889,73.3573,-0.18470141837725806,-0.25448229020877094,-1.1804754936942448,0.126132623992949
23,aircraft,hideit_base_patch16_224.fb_in1k,87.08,4.29,91.6292,77.5278,0.19251638208504238,-0.36089927777584874,-0.04236453581146353,0.29065160024484443
23,aircraft,hivit_base_patch16_224_miil.in21k,83.89,6.66,90.5791,69.0069,-0.198173482679483,-0.09818233971962541,-0.5530385164433097,-0.04548309457466739
23,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,86.07,10.17,92.9793,60.006,0.06881833712824835,0.29090477107250284,0.6142024018621427,-0.4005529551059429
23,aircraft,hideit3_base_patch16_224.fb_in1k,86.73,6.75,92.3792,70.117,0.1496507229415998,-0.08820574713521187,0.3223678567929403,-0.0016915790400242067
23,aircraft,hivit_base_patch16_224.in1k_mocov3,82.58,12.31,89.979,49.2049,-0.3586135211877995,0.5281259725241139,-0.8448730615125122,-0.8266375767087113
23,aircraft,hivit_base_patch16_224.dino,67.79,28.59,87.0687,9.631,-2.169993803277872,2.3327807200158084,-2.2601806377746367,-2.387759148293624
23,aircraft,hivit_base_patch16_clip_224.laion2b,63.95,27.21,87.7888,16.3516,-2.640291320737364,2.179806300388134,-1.9099889098887346,-2.122643159371795
23,aircraft,hivit_base_patch16_siglip_224.v2_webli,77.57,21.56,94.0894,39.844,-0.9722048134982307,1.5534979881443947,1.1540549739023422,-1.1959088115238095
23,aircraft,hivit_base_patch16_224.mae,74.51,19.6,88.6889,37.0237,-1.3469731477237616,1.336229971861611,-1.472261407777765,-1.30716474455899
23,aircraft,hiresnet50.tv_in1k,91.71,1.19,93.1893,89.589,0.7595678158968768,-0.7045374667945375,0.7163274717913797,0.7664449766671821
23,aircraft,hiresnet50.tv2_in1k,91.73,1.02,92.8293,89.799,0.7620172821336463,-0.7233821416762076,0.5412559233412662,0.7747291116660789
23,aircraft,hiresnet50.gluon_in1k,91.24,1.34,93.1893,88.8689,0.7020053593328246,-0.6879098124871816,0.7163274717913797,0.7380382832733468
23,aircraft,hiresnet50.a1_in1k,89.74,2.41,92.3492,84.6085,0.5182953915752107,-0.5692992117613761,0.30777856108876356,0.5699729082766862
23,aircraft,hiresnet50.in21k_miil,91.49,1.03,92.9493,89.679,0.732623687292427,-0.7222736313890504,0.599613106157966,0.7699953202381379
23,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,91.51,1.58,93.3093,89.0489,0.7350731535291964,-0.6613055655954122,0.7746846546080796,0.7451389704152583
23,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,91.24,1.45,92.9193,88.8089,0.7020053593328246,-0.675716199328454,0.5850238104537963,0.7356713875593762
23,aircraft,hiresnet50.in1k_mocov3,91.86,1.11,93.5794,89.559,0.777938812672639,-0.713405549091794,0.9060369469313522,0.7652615288101968
23,aircraft,hiresnet50.in1k_supcon,91.7,1.31,93.4293,88.9589,0.7583430827784939,-0.6912353433486528,0.8330418374247864,0.7415886268443026
23,aircraft,hiresnet50.in1k_swav,91.58,1.35,93.0393,89.1089,0.7436462853578842,-0.6868013022000246,0.6433809932704961,0.7475058661292289
23,aircraft,hiresnet50.in1k_spark,87.7,2.28,90.7891,83.2583,0.2684498354248567,-0.583709845494418,-0.4509134465140727,0.5167098650599714
23,cars,hivit_base_patch16_224.orig_in21k,86.05,6.56,91.7672,70.8494,0.2708012531619401,-0.5834895414885294,-0.3951272378963868,0.4937639933295515
23,cars,hideit_base_patch16_224.fb_in1k,86.65,13.2,93.3466,51.6602,0.3238995380956548,-0.040244688279204806,0.28784111604989704,-0.08062026298478644
23,cars,hivit_base_patch16_224_miil.in21k,78.04,21.37,92.0159,34.4733,-0.4380608507031404,0.6281755603232324,-0.28758372160764345,-0.595070306490972
23,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,85.24,17.07,93.4461,39.9453,0.19911856850142606,0.27637542947984445,0.33086717101865715,-0.4312786606405948
23,cars,hideit3_base_patch16_224.fb_in1k,85.11,16.96,93.0357,40.1318,0.18761394009912177,0.2673758912489671,0.15340091012239704,-0.4256962151085965
23,cars,hivit_base_patch16_224.in1k_mocov3,80.43,21.86,92.8118,34.834,-0.2265526823838464,0.6682644124425952,0.056581475876117455,-0.5842735874379327
23,cars,hivit_base_patch16_224.dino,61.54,35.14,89.8271,3.2086,-1.8982636863802747,1.7547541188612445,-1.2340704463877077,-1.5309066862457759
23,cars,hivit_base_patch16_clip_224.laion2b,63.39,34.74,90.7599,4.7258,-1.7345439745013234,1.722028525294418,-0.8307065863388937,-1.4854928183575828
23,cars,hivit_base_patch16_siglip_224.v2_webli,78.43,28.85,95.4359,9.7749,-0.40354696549622626,1.2401441600228933,1.1913017858612072,-1.334359704493705
23,cars,hivit_base_patch16_224.mae,81.83,21.82,93.0481,28.2179,-0.10265668420518127,0.6649918530859125,0.1587629511436289,-0.7823112168441243
23,cars,hiresnet50.tv_in1k,92.54,2.21,94.3166,86.6435,0.8451477018616135,-0.9393803715277708,0.7072910991624066,0.9665237948144642
23,cars,hiresnet50.tv2_in1k,93.01,0.66,93.8316,92.2025,0.8867413583930227,-1.0661920465992245,0.4975661076061518,1.13291958415698
