serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
40,cub_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,25,88.4363,0.01,82.6948,0.0,0.0,6.7248,0.0,0.0,8.132098109454985,0.0,0.0,-20.09313497836072,0.0,0.0
40,cub_pl,hideit3_base_patch16_224.fb_in22k_ft_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1,25,90.6628,0.01,76.669,0.0,0.0,22.733,0.0,0.0,29.65081548748822,0.0,0.0,-67.90242523294285,0.0,0.0
40,cub_pl,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1,25,88.3845,0.03,77.0349,0.0,0.0,19.4085,0.0,0.0,25.194475179764613,0.0,0.0,-57.97364885394416,0.0,0.0
40,cub_pl,hiresnet50.a1_in1k,hiresnet50.a1_in1k,-1,25,85.4159,0.0001,83.476,0.0,0.0,1.98,0.0,0.0,2.371909600868019,0.0,0.0,-5.916207390825964,0.0,0.0
40,cub_pl,hiresnet50.fb_ssl_yfcc100m_ft_in1k,hiresnet50.fb_ssl_yfcc100m_ft_in1k,-1,25,85.6403,0.01,82.0363,0.0,0.0,4.16,0.0,0.0,5.0708958845788406,0.0,0.0,-12.429214356893258,0.0,0.0
40,cub_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,hiresnet50.fb_swsl_ig1b_ft_in1k,-1,25,85.4505,0.03,81.4904,0.0,0.0,6.2729,0.0,0.0,7.697666521135737,0.0,0.0,-18.741611314562796,0.0,0.0
40,cub_pl,hiresnet50.gluon_in1k,hiresnet50.gluon_in1k,-1,25,85.088,0.03,81.5085,0.0,0.0,3.718,0.0,0.0,4.561435164401146,0.0,0.0,-11.108253685992066,0.0,0.0
40,cub_pl,hiresnet50.in1k_mocov3,hiresnet50.in1k_mocov3,-1,25,85.2951,0.03,83.1722,0.0,0.0,2.2919,0.0,0.0,2.7555713747262534,0.0,0.0,-6.84805504661432,0.0,0.0
40,cub_pl,hiresnet50.in1k_spark,hiresnet50.in1k_spark,-1,25,78.5986,0.01,71.9296,0.0,0.0,6.3783,0.0,0.0,8.867368728556954,0.0,0.0,-19.046112223432115,0.0,0.0
40,cub_pl,hiresnet50.in1k_supcon,hiresnet50.in1k_supcon,-1,25,85.5195,0.01,81.3963,0.0,0.0,4.7916,0.0,0.0,5.886787450297404,0.0,0.0,-14.316008347607598,0.0,0.0
40,cub_pl,hiresnet50.in1k_swav,hiresnet50.in1k_swav,-1,25,86.2271,5e-05,84.5806,0.0,0.0,1.5481,0.0,0.0,1.8303315045726187,0.0,0.0,-4.626012241524468,0.0,0.0
40,cub_pl,hiresnet50.in21k_miil,hiresnet50.in21k_miil,-1,25,88.6434,0.01,86.1046,0.0,0.0,2.4909,0.0,0.0,2.8928247950858794,0.0,0.0,-7.443635671882813,0.0,0.0
40,cub_pl,hiresnet50.tv2_in1k,hiresnet50.tv2_in1k,-1,25,86.3652,0.03,83.5934,0.0,0.0,1.9788,0.0,0.0,2.3672217450835062,0.0,0.0,-5.912849078813501,0.0,0.0
40,cub_pl,hiresnet50.tv_in1k,hiresnet50.tv_in1k,-1,25,86.3652,0.01,82.5923,0.0,0.0,3.2536,0.0,0.0,3.93933616446702,0.0,0.0,-9.72137521265316,0.0,0.0
40,cub_pl,hivit_base_patch16_224.dino,hivit_base_patch16_224.dino,-1,25,85.1398,0.003,59.2492,0.0,0.0,31.4977,0.0,0.0,53.16129491985955,0.0,0.0,-93.9613607449391,0.0,0.0
40,cub_pl,hivit_base_patch16_224.in1k_mocov3,hivit_base_patch16_224.in1k_mocov3,-1,25,87.7287,0.01,78.0773,0.0,0.0,14.3831,0.0,0.0,18.42162938393703,0.0,0.0,-42.96512727609226,0.0,0.0
40,cub_pl,hivit_base_patch16_224.mae,hivit_base_patch16_224.mae,-1,25,85.1398,0.03,71.1176,0.0,0.0,19.4976,0.0,0.0,27.41594024635281,0.0,0.0,-58.21854417539737,0.0,0.0
40,cub_pl,hivit_base_patch16_224.orig_in21k,hivit_base_patch16_224.orig_in21k,-1,25,90.8353,0.03,80.9354,0.0,0.0,14.5356,0.0,0.0,17.959552325123006,0.0,0.0,-43.42733795372008,0.0,0.0
40,cub_pl,hivit_base_patch16_224_miil.in21k,hivit_base_patch16_224_miil.in21k,-1,25,90.145,0.03,79.0818,0.0,0.0,15.8088,0.0,0.0,19.990396528957334,0.0,0.0,-47.22639823854032,0.0,0.0
40,cub_pl,hivit_base_patch16_clip_224.laion2b,hivit_base_patch16_clip_224.laion2b,-1,25,81.1874,1e-05,57.5557,0.0,0.0,27.4728,0.0,0.0,47.73258958087749,0.0,0.0,-81.94115228839455,0.0,0.0
40,cub_pl,hivit_base_patch16_siglip_224.v2_webli,hivit_base_patch16_siglip_224.v2_webli,-1,25,87.1246,0.01,72.2601,0.0,0.0,21.3061,0.0,0.0,29.485354335260965,0.0,0.0,-63.623574983681245,0.0,0.0
40,cub_pl,hideit3_base_patch16_224.fb_in22k_ft_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1,50,90.6628,0.01,77.1194,0.0,0.0,23.1345,0.0,0.0,29.998294854022184,0.0,0.0,-69.10355905488349,0.0,0.0
40,cub_pl,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1,50,88.6779,0.03,77.6407,0.0,0.0,17.7187,0.0,0.0,22.82146354643628,0.0,0.0,-52.92799012187323,0.0,0.0
40,cub_pl,hiresnet50.a1_in1k,hiresnet50.a1_in1k,-1,50,85.1571,5e-06,82.6251,0.0,0.0,2.3907,0.0,0.0,2.893423850154449,0.0,0.0,-7.143152282448967,0.0,0.0
40,cub_pl,hiresnet50.fb_ssl_yfcc100m_ft_in1k,hiresnet50.fb_ssl_yfcc100m_ft_in1k,-1,50,85.9165,0.03,81.2668,0.0,0.0,6.1767,0.0,0.0,7.600479424974139,0.0,0.0,-18.454001286186397,0.0,0.0
40,cub_pl,hiresnet50.fb_swsl_ig1b_ft_in1k,hiresnet50.fb_swsl_ig1b_ft_in1k,-1,50,85.5195,0.03,81.1961,0.0,0.0,4.9336,0.0,0.0,6.076209314927799,0.0,0.0,-14.740165590073817,0.0,0.0
40,cub_pl,hiresnet50.gluon_in1k,hiresnet50.gluon_in1k,-1,50,85.5368,0.03,81.0166,0.0,0.0,4.7759,0.0,0.0,5.894954077551335,0.0,0.0,-14.268721017832403,0.0,0.0
