serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,aircraft,hideit3_base_patch16_224.fb_in1k,,,,90.22,0.01,77.814,0.0,0.0,23.6407,0.0,0.0,30.380996881365974,0.0,0.0,-70.6181967709847,0.0,0.0
32,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,89.95,0.01,76.202,0.0,0.0,22.1054,0.0,0.0,29.00890364899617,0.0,0.0,-66.02600523933422,0.0,0.0
32,aircraft,hideit_base_patch16_224.fb_in1k,,,,90.76,0.01,78.678,0.0,0.0,20.5644,0.0,0.0,26.137363997033678,0.0,0.0,-61.43169209678812,0.0,0.0
32,aircraft,hiresnet50.a1_in1k,,,,91.96,0.0005,89.269,0.0,0.0,2.1427,0.0,0.0,2.4002855411974937,0.0,0.0,-6.404129843902797,0.0,0.0
32,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,92.77,0.01,90.58,0.0,0.0,1.9579,0.0,0.0,2.1615224616932176,0.0,0.0,-5.8521059127882165,0.0,0.0
32,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,92.95,0.01,90.232,0.0,0.0,2.7784,0.0,0.0,3.0791604107825195,0.0,0.0,-8.304372461464023,0.0,0.0
32,aircraft,hiresnet50.gluon_in1k,,,,92.17,0.03,89.929,0.0,0.0,1.5099,0.0,0.0,1.678995619273425,0.0,0.0,-4.512921955176462,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_mocov3,,,,92.6793,0.0001,90.9661,0.0,0.0,1.4327,0.0,0.0,1.575024664090497,0.0,0.0,-4.282465758750171,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_spark,,,,90.5791,5e-05,87.3837,0.0,0.0,2.6284,0.0,0.0,3.007849921063616,0.0,0.0,-7.855036764626669,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_supcon,,,,93.3093,0.03,91.3081,0.0,0.0,2.128,0.0,0.0,2.33061009025364,0.0,0.0,-6.360802672920168,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_swav,,,,92.4092,0.0001,90.7651,0.0,0.0,1.5773,0.0,0.0,1.7377881024995372,0.0,0.0,-4.714535882031136,0.0,0.0
32,aircraft_baseline,hiresnet50.in21k_miil,,,,92.9793,0.0001,90.7921,0.0,0.0,1.5445,0.0,0.0,1.7010884290514487,0.0,0.0,-4.61634981783489,0.0,0.0
32,aircraft,hiresnet50.tv2_in1k,,,,92.35,0.03,90.73,0.0,0.0,1.1922,0.0,0.0,1.3140359429241748,0.0,0.0,-3.563534073616069,0.0,0.0
32,aircraft,hiresnet50.tv_in1k,,,,92.71,0.03,90.817,0.0,0.0,1.3335,0.0,0.0,1.4682828231789484,0.0,0.0,-3.985668406347487,0.0,0.0
32,aircraft_baseline,hivit_base_patch16_224.dino,,,,89.1989,0.003,56.4326,0.0,0.0,35.5019,0.0,0.0,62.91021335269073,0.0,0.0,-105.87658054014078,0.0,0.0
32,aircraft_baseline,hivit_base_patch16_224.in1k_mocov3,,,,89.3489,0.01,80.306,0.0,0.0,14.7774,0.0,0.0,18.401375977993165,0.0,0.0,-44.14822978012002,0.0,0.0
32,aircraft,hivit_base_patch16_224.mae,,,,87.01,0.01,51.378,0.0,0.0,34.5944,0.0,0.0,67.33315627559679,0.0,0.0,-103.1099555310724,0.0,0.0
32,aircraft,hivit_base_patch16_224.orig_in21k,,,,88.78,0.01,76.035,0.0,0.0,19.0067,0.0,0.0,24.997368632673595,0.0,0.0,-56.77027403323337,0.0,0.0
32,aircraft,hivit_base_patch16_224_miil.in21k,,,,88.06,0.01,75.7209,0.0,0.0,17.2124,0.0,0.0,22.73132069923614,0.0,0.0,-51.40977483850244,0.0,0.0
32,aircraft,hivit_base_patch16_clip_224.laion2b,,,,85.18,1e-05,57.6175,0.0,0.0,29.4344,0.0,0.0,51.085865593329785,0.0,0.0,-87.79233716877705,0.0,0.0
32,aircraft_baseline,hivit_base_patch16_siglip_224.v2_webli,,,,93.6394,0.003,80.003,0.0,0.0,23.3529,0.0,0.0,29.19001006418467,0.0,0.0,-69.76677304681468,0.0,0.0
39,aircraft_pt_ig1b,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,93.3393,0.03,91.5572,1.3251999999999953,1.4686585690220713,1.4051,-1.3733,-49.42772818888569,1.5346328260734463,-1.5445275847090731,-50.1606729971095,-4.19985190729118,4.104520554172844,-49.426017115918654
39,aircraft_pt_siglipv2,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,93.2193,0.0001,91.3861,1.1540999999999997,1.2790362620799713,1.7571,-1.0212999999999999,-36.758566081197806,1.9227390761183831,-1.1564213346641363,-37.55638487084375,-5.25212310422585,3.052249357238173,-36.75472615663574
