serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,cars,hideit3_base_patch16_224.fb_in1k,,,,91.97,0.01,78.04,0.0,0.0,27.9983,0.0,0.0,35.876810154424184,0.0,0.0,-83.63601983199364,0.0,0.0
32,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,90.56,0.01,73.591,0.0,0.0,30.9624,0.0,0.0,42.073671814597446,0.0,0.0,-92.46657075709524,0.0,0.0
32,cars,hideit_base_patch16_224.fb_in1k,,,,92.04,0.03,80.43,0.0,0.0,24.033,0.0,0.0,29.880686384667182,0.0,0.0,-71.80030131371679,0.0,0.0
32,cars,hiresnet50.a1_in1k,,,,92.65,0.0005,90.5811,0.0,0.0,1.9044,0.0,0.0,2.102380662742034,0.0,0.0,-5.692055485663208,0.0,0.0
32,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,93.58,0.01,89.402,0.0,0.0,5.0444,0.0,0.0,5.642406685337768,0.0,0.0,-15.076849207623638,0.0,0.0
32,cars,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,93.69,0.01,89.094,0.0,0.0,6.6905,0.0,0.0,7.509481827431146,0.0,0.0,-19.996398399720203,0.0,0.0
32,cars,hiresnet50.gluon_in1k,,,,93.27,0.03,90.793,0.0,0.0,2.7517,0.0,0.0,3.030738787448574,0.0,0.0,-8.224788613990066,0.0,0.0
32,cars_baseline,hiresnet50.in1k_mocov3,,,,93.6824,0.0001,92.6216,0.0,0.0,0.6829,0.0,0.0,0.7373337995617737,0.0,0.0,-2.041417085888686,0.0,0.0
32,cars_baseline,hiresnet50.in1k_spark,,,,91.8418,0.01,87.3896,0.0,0.0,4.674,0.0,0.0,5.348403742265812,0.0,0.0,-13.96836668639408,0.0,0.0
32,cars_baseline,hiresnet50.in1k_supcon,,,,94.1798,0.03,91.2983,0.0,0.0,4.1116,0.0,0.0,4.503430996720563,0.0,0.0,-12.28963756815748,0.0,0.0
32,cars_baseline,hiresnet50.in1k_swav,,,,93.6326,0.0001,92.5333,0.0,0.0,0.6656,0.0,0.0,0.7193002354165862,0.0,0.0,-1.98958308449183,0.0,0.0
32,cars_baseline,hiresnet50.in21k_miil,,,,93.558,0.0001,92.3753,0.0,0.0,0.6278,0.0,0.0,0.6796578618201455,0.0,0.0,-1.8767117956663504,0.0,0.0
32,cars,hiresnet50.tv2_in1k,,,,93.0,0.0001,91.42,0.0,0.0,1.346,0.0,0.0,1.4723325736334525,0.0,0.0,-4.023295990710771,0.0,0.0
32,cars,hiresnet50.tv_in1k,,,,93.79,0.01,91.49,0.0,0.0,2.8561,0.0,0.0,3.1218052090478787,0.0,0.0,-8.537200705183233,0.0,0.0
32,cars_baseline,hivit_base_patch16_224.dino,,,,88.8322,5e-06,52.8006,0.0,0.0,39.4507,0.0,0.0,74.71629587421003,0.0,0.0,-117.60488425888738,0.0,0.0
32,cars_baseline,hivit_base_patch16_224.in1k_mocov3,,,,92.3393,0.01,74.9372,0.0,0.0,32.4598,0.0,0.0,43.31597424742917,0.0,0.0,-96.94618801355148,0.0,0.0
32,cars,hivit_base_patch16_224.mae,,,,88.25,0.01,68.725,0.0,0.0,33.8789,0.0,0.0,49.29626655477064,0.0,0.0,-101.14361490375066,0.0,0.0
32,cars,hivit_base_patch16_224.orig_in21k,,,,90.95,0.03,71.986,0.0,0.0,31.8914,0.0,0.0,44.30219274977695,0.0,0.0,-95.23110749106556,0.0,0.0
32,cars,hivit_base_patch16_224_miil.in21k,,,,89.35,0.01,70.223,0.0,0.0,28.4838,0.0,0.0,40.56186429582498,0.0,0.0,-85.04565525041329,0.0,0.0
32,cars,hivit_base_patch16_clip_224.laion2b,,,,91.64,5e-06,53.36,0.0,0.0,38.6721,0.0,0.0,72.4739173679257,0.0,0.0,-115.2915077488962,0.0,0.0
32,cars_baseline,hivit_base_patch16_siglip_224.v2_webli,,,,95.5229,0.003,66.4796,0.0,0.0,32.7879,0.0,0.0,49.32016751298124,0.0,0.0,-97.87036706581264,0.0,0.0
