method,Average
RN TV1,50.37503750375038
RN TV2,50.67506750675067
RN Gluon,49.774977497749774
RN IN21k-P,50.52505250525053
RN A1,47.1947194719472
RN IG1b,58.175817581758174
RN YFCC100m,55.685568556855685
RN SupCon,55.02550255025503
RN SwAV,48.004800480048
RN MoCo v3,50.52505250525053
RN SparK,40.294029402940296
ViT,32.133213321332136
DeiT,42.51425142514251
ViT IN21k-P,24.152415241524157
DeiT 3 (IN1k),47.43474347434744
DeiT 3 (IN21k),49.11491149114912
ViT MoCo v3,39.12391239123912
ViT DINO,41.07410741074107
ViT CLIP,47.67476747674768
ViT SigLIP v2,56.04560456045605
ViT MAE,40.26402640264026
