method,Aircraft,CUB,Average
RN TV1,59.32054743935932,24.4702711725421,59.32054743935932
RN TV2,58.60278335525861,26.128778192107426,58.60278335525861
RN Gluon,58.67894481755868,,58.67894481755868
RN IN21k-P,58.000415426158,,58.000415426158
RN A1,55.59094370975559,,55.59094370975559
RN IG1b,65.45269911606546,,65.45269911606546
RN YFCC100m,63.366336633663366,,63.366336633663366
RN SupCon,62.618569549262624,,62.618569549262624
RN SwAV,57.33111772715733,,57.33111772715733
RN MoCo v3,59.07590759075908,,59.07590759075908
RN SparK,50.686607122250685,,50.686607122250685
ViT,40.70253179164071,,40.70253179164071
DeiT,47.762468554547766,,47.762468554547766
ViT IN21k-P,30.1968658404302,,30.1968658404302
DeiT 3 (IN1k),55.22859978305523,,55.22859978305523
DeiT 3 (IN21k),56.246393870156254,,56.246393870156254
ViT MoCo v3,46.377714694546384,,46.377714694546384
ViT DINO,50.1996353481502,,50.1996353481502
ViT CLIP,55.3024533222553,,55.3024533222553
ViT SigLIP v2,63.71483302176371,,63.71483302176371
ViT MAE,44.87294883334488,,44.87294883334488
