method,Aircraft,CUB,Average
RN TV1,38.3818,20.5052,33.9127
RN TV2,38.6746,20.1926,34.7837
RN Gluon,39.2254,,39.2254
RN IN21k-P,38.2095,,38.2095
RN A1,33.6382,,33.6382
RN IG1b,44.3067,,44.3067
RN YFCC100m,41.7953,,41.7953
RN SupCon,41.7809,,41.7809
RN SwAV,36.8731,,36.8731
RN MoCo v3,39.0141,,39.0141
RN SparK,24.1125,,24.1125
ViT,22.1314,,22.1314
DeiT,26.0721,,26.0721
ViT IN21k-P,16.1233,,16.1233
DeiT 3 (IN1k),30.6487,,30.6487
DeiT 3 (IN21k),30.4821,,30.4821
ViT MoCo v3,23.7383,,23.7383
ViT DINO,21.4768,,21.4768
ViT CLIP,19.2146,,19.2146
ViT SigLIP v2,22.9365,,22.9365
ViT MAE,16.7775,,16.7775
