method,Average
RN TV1,51.62636385226479
RN TV2,50.127523472973955
RN Gluon,48.76990400077085
RN IN21k-P,39.20827466997211
RN A1,44.474051648103256
RN IG1b,44.35677580529882
RN YFCC100m,43.22233486805479
RN SupCon,42.75235419752336
RN SwAV,45.30480770880561
RN MoCo v3,39.50932683637526
RN SparK,64.38536400526917
ViT,45.80113170846836
DeiT,51.78685983628245
ViT IN21k-P,50.98729634204897
DeiT 3 (IN1k),55.71664521409666
DeiT 3 (IN21k),57.77659280905236
ViT MoCo v3,59.055246328645126
ViT DINO,69.47690399281854
ViT CLIP,97.76378080991405
ViT SigLIP v2,89.41166336959932
ViT MAE,80.64422586967923
