method,Aircraft,CUB,Average
RN TV1,39.75029767839111,20.50140106589023,45.550544199974354
RN TV2,39.27042727722594,20.065046223880504,44.742107324475164
RN Gluon,38.61252952829696,,38.61252952829696
RN IN21k-P,37.542799303866495,,37.542799303866495
RN A1,41.54256891689257,,41.54256891689257
RN IG1b,37.28063753984095,,37.28063753984095
RN YFCC100m,37.53074731045419,,37.53074731045419
RN SupCon,38.1816463289708,,38.1816463289708
RN SwAV,40.74527748708201,,40.74527748708201
RN MoCo v3,38.16017617367133,,38.16017617367133
RN SparK,54.15798462078326,,54.15798462078326
ViT,44.749091201813954,,44.749091201813954
DeiT,49.637028795034325,,49.637028795034325
ViT IN21k-P,44.74190409380518,,44.74190409380518
DeiT 3 (IN1k),50.714582694523344,,50.714582694523344
DeiT 3 (IN21k),52.74510294052759,,52.74510294052759
ViT MoCo v3,48.58245237637824,,48.58245237637824
ViT DINO,64.92454435645234,,64.92454435645234
ViT CLIP,79.99451113141907,,79.99451113141907
ViT SigLIP v2,73.06566134370776,,73.06566134370776
ViT MAE,68.21937283772964,,68.21937283772964
