serial,setting,dataset_name,method,seed,img_per_class,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
102,,all,hiresnet50.tv_in1k,0,1.0,13.1604,3.6283,18.70900931998619,0.0001,4.676035318990175,27.569732157239834,-10.609203967191025,13.1604\pm{3.6283},13.1604+-3.6283
102,,all,hiresnet50.tv_in1k,0,3.0,37.6634,10.6755,50.88022091819124,5e-05,15.25716258198136,28.344488696795956,-31.743034253290684,37.6634\pm{10.6755},37.6634+-10.6755
102,,all,hiresnet50.tv_in1k,0,5.0,45.2265,5.1717,50.37503750375038,0.0001,32.19321932193219,11.435127340424419,-15.40078009739303,45.2265\pm{5.1717},45.2265+-5.1717
102,,all,hiresnet50.tv2_in1k,0,1.0,13.1357,3.3633,20.210562651018297,5e-05,7.250341997264022,25.604487631074452,-9.833956836753785,13.1357\pm{3.3633},13.1357+-3.3633
102,,all,hiresnet50.tv2_in1k,0,3.0,38.7954,7.9889,52.39903348291336,5e-05,26.993441491197792,20.592504227310656,-23.76091898456846,38.7954\pm{7.9889},38.7954+-7.9889
102,,all,hiresnet50.tv2_in1k,0,5.0,46.3816,2.7046,50.67506750675067,0.0001,41.46414641464146,5.831223454444212,-8.055538654947284,46.3816\pm{2.7046},46.3816+-2.7046
102,,all,hiresnet50.gluon_in1k,0,1.0,14.6618,4.5107,23.748705557473247,5e-05,4.875015545330183,30.76483846510679,-13.22438306916781,14.6618\pm{4.5107},14.6618+-4.5107
102,,all,hiresnet50.gluon_in1k,0,3.0,39.6909,10.8137,53.33103210217466,5e-05,18.570935450466,27.244762522079846,-32.16861672274164,39.6909\pm{10.8137},39.6909+-10.8137
102,,all,hiresnet50.gluon_in1k,0,5.0,46.2556,3.9048,49.774977497749774,0.0001,36.78367836783679,8.441782980246478,-11.629980748636775,46.2556\pm{3.9048},46.2556+-3.9048
102,,all,hiresnet50.in21k_miil,0,1.0,18.2842,8.2227,33.18950638591647,5e-05,7.598557393359035,44.971677799505805,-24.218433682446612,18.2842\pm{8.2227},18.2842+-8.2227
102,,all,hiresnet50.in21k_miil,0,3.0,46.7937,15.2408,67.01760441836383,5e-05,29.942994299429945,32.57013224558798,-45.39662596198326,46.7937\pm{15.2408},46.7937+-15.2408
102,,all,hiresnet50.in21k_miil,0,5.0,46.8437,2.3644,50.52505250525053,0.0005,42.3942394239424,5.0473985576233735,-7.042688361874147,46.8437\pm{2.3644},46.8437+-2.3644
102,,all,hiresnet50.a1_in1k,0,1.0,11.893,3.1155,17.690714532274768,0.001,6.292749658002736,26.196272645710838,-9.084629032244486,11.893\pm{3.1155},11.893+-3.1155
102,,all,hiresnet50.a1_in1k,0,3.0,34.5005,6.5531,47.44563341387642,0.0001,22.112211221122116,18.994116339095555,-19.469237349093056,34.5005\pm{6.5531},34.5005+-6.5531
102,,all,hiresnet50.a1_in1k,0,5.0,40.8911,4.5029,47.1947194719472,0.0005,34.35343534353435,11.011835925846718,-13.398460563636664,40.8911\pm{4.5029},40.8911+-4.5029
102,,all,hiresnet50.fb_swsl_ig1b_ft_in1k,0,1.0,18.1265,6.4445,27.632033137728683,0.01,5.397338639472703,35.55273224996534,-18.9778422377702,18.1265\pm{6.4445},18.1265+-6.4445
102,,all,hiresnet50.fb_swsl_ig1b_ft_in1k,0,3.0,43.6748,13.1185,60.09665170866413,0.01,12.823610631687954,30.03681030001023,-39.055220397826055,43.6748\pm{13.1185},43.6748+-13.1185
102,,all,hiresnet50.fb_swsl_ig1b_ft_in1k,0,5.0,50.9118,10.1477,58.175817581758174,5e-05,27.512751275127517,19.93199643592711,-30.2438693115162,50.9118\pm{10.1477},50.9118+-10.1477
102,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,1.0,16.4298,5.7637,24.991370383154987,5e-05,4.862579281183932,35.08052540421337,-16.94015143754015,16.4298\pm{5.7637},16.4298+-5.7637
102,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,3.0,42.6729,12.7567,60.02761477390404,0.01,16.37901277183293,29.894215472906943,-37.97124589341109,42.6729\pm{12.7567},42.6729+-12.7567
102,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,5.0,50.125,7.9757,55.685568556855685,0.03,30.003000300030003,15.91160212217594,-23.76796163744785,50.125\pm{7.9757},50.125+-7.9757
102,,all,hiresnet50.in1k_supcon,0,1.0,16.9217,3.7279,19.89198919891989,0.0001,7.860786078607861,22.03041435997696,-10.963452561195014,16.9217\pm{3.7279},16.9217+-3.7279
102,,all,hiresnet50.in1k_supcon,0,3.0,38.6182,9.928,50.10355540214015,0.01,13.030721435968244,25.70806137858852,-29.526892073886575,38.6182\pm{9.928},38.6182+-9.928
102,,all,hiresnet50.in1k_supcon,0,5.0,48.3648,7.618,55.02550255025503,0.03,28.802880288028803,15.75106976775257,-22.696426715119184,48.3648\pm{7.618},48.3648+-7.618
102,,all,hiresnet50.in1k_swav,0,1.0,12.7423,1.6713,14.88148814881488,0.001,9.870987098709872,13.116476325705257,-4.882847383931987,12.7423\pm{1.6713},12.7423+-1.6713
