serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
86,,cotton,hivit_base_patch16_224.orig_in21k,0,70.0,-1.0,hivit_base_patch16_224.orig_in21k,56.625,10.6673,68.33333333333333,0.0001,32.5,18.838434327889143,-31.813405971222792,56.625\pm{10.6673},56.625+-10.6673
86,,cotton,hivit_base_patch16_224.orig_in21k,0,90.0,-1.0,hivit_base_patch16_224.orig_in21k,57.5417,10.372,67.5,0.1,36.66666666666666,18.02525823619287,-30.935849447866016,57.5417\pm{10.372},57.5417+-10.372
83,,cotton,hivit_base_patch16_224.orig_in21k,0,,,,56.7917,7.225,66.25,0.1,42.91666666666666,12.72198297596968,-21.547858665548645,56.7917\pm{7.225},56.7917+-7.225
86,,cotton,hideit_base_patch16_224.fb_in1k,0,70.0,-1.0,hideit_base_patch16_224.fb_in1k,59.5833,8.0051,69.16666666666667,0.03,42.5,13.435150070852742,-23.88097925094075,59.5833\pm{8.0051},59.5833+-8.0051
86,,cotton,hideit_base_patch16_224.fb_in1k,0,90.0,-1.0,hideit_base_patch16_224.fb_in1k,60.5417,10.5007,72.5,0.0001,37.083333333333336,17.344550131104643,-31.328593674307765,60.5417\pm{10.5007},60.5417+-10.5007
83,,cotton,hideit_base_patch16_224.fb_in1k,0,,,,61.3333,6.6863,69.16666666666667,5e-05,48.333333333333336,10.901598329867399,-19.94992494365734,61.3333\pm{6.6863},61.3333+-6.6863
86,,soyageing,hivit_base_patch16_224.orig_in21k,0,70.0,-1.0,hivit_base_patch16_224.orig_in21k,74.5495,16.2254,85.79797979797979,0.03,31.636363634822345,21.764546031598485,-48.45843197139169,74.5495\pm{16.2254},74.5495+-16.2254
86,,soyageing,hivit_base_patch16_224.orig_in21k,0,90.0,-1.0,hivit_base_patch16_224.orig_in21k,73.8141,21.2815,87.53535352918837,0.03,15.818181818181818,28.831161832899614,-63.55611207796773,73.8141\pm{21.2815},73.8141+-21.2815
83,,soyageing,hivit_base_patch16_224.orig_in21k,0,,,,76.9273,18.2135,87.57575757575758,0.03,25.97979797902733,23.676211825276685,-54.4036300066741,76.9273\pm{18.2135},76.9273+-18.2135
86,,soyageing,hideit_base_patch16_224.fb_in1k,0,70.0,-1.0,hideit_base_patch16_224.fb_in1k,75.1293,19.1271,88.16161616161617,0.03,24.1010101010101,25.458848836898714,-57.12657086610432,75.1293\pm{19.1271},75.1293+-19.1271
