serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
23,ft_448,aircraft,hiresnet50.tv_in1k,,,,93.0017,0.9918,94.39093909390938,0.01,91.3906390639064,1.0664796374733878,-2.964866209700055,93.0017\pm{0.9918},93.0017+-0.9918
23,ft_448,aircraft,hiresnet50.gluon_in1k,,,,92.6584,1.0781,94.33993399339934,0.03,91.05910591059106,1.163479843062789,-3.2225511752237623,92.6584\pm{1.0781},92.6584+-1.0781
23,ft_448,aircraft,hiresnet50.in21k_miil,,,,92.4732,0.9266,93.90246716979392,0.0001,90.6921461376907,1.0020159835853906,-2.7697676837911183,92.4732\pm{0.9266},92.4732+-0.9266
23,ft_448,aircraft,hiresnet50.a1_in1k,,,,91.6248,1.8908,93.6018601860186,0.0005,87.30873087308731,2.063596938946918,-5.6516645076472,91.6248\pm{1.8908},91.6248+-1.8908
23,ft_448,aircraft,hiresnet50.tv2_in1k,,,,93.1523,0.7778,94.1029102910291,0.03,91.81968196819682,0.8349678127188818,-2.325024616252774,93.1523\pm{0.7778},93.1523+-0.7778
23,ft_448,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,92.7615,1.3909,94.27242724272426,0.03,90.44704470447044,1.4994289698762562,-4.1576830490278045,92.7615\pm{1.3909},92.7615+-1.3909
23,ft_448,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,92.5797,1.2498,94.22892289228923,0.03,90.77707770777076,1.3499712623438562,-3.7358966193200263,92.5797\pm{1.2498},92.5797+-1.2498
23,ft_448,aircraft,hiresnet50.in1k_supcon,,,,92.8885,1.206,94.38043804380438,0.03,90.2010201020102,1.2983827040758225,-3.605162340602036,92.8885\pm{1.206},92.8885+-1.206
23,ft_448,aircraft,hiresnet50.in1k_swav,,,,93.1236,0.9622,94.23042304230422,0.0001,91.2001200120012,1.0332869729993968,-2.8763695962153326,93.1236\pm{0.9622},93.1236+-0.9622
23,ft_448,aircraft,hiresnet50.in1k_mocov3,,,,93.2811,0.7834,94.4959495949595,0.0001,91.74617461746176,0.8398543193240493,-2.341878207515696,93.2811\pm{0.7834},93.2811+-0.7834
23,ft_448,aircraft,hiresnet50.in1k_spark,,,,88.909,2.0674,92.05670567056706,0.0001,85.17401740174017,2.325312325842401,-6.1789858058669065,88.909\pm{2.0674},88.909+-2.0674
23,ft_448,aircraft,hivit_base_patch16_224.orig_in21k,,,,86.5757,4.7245,91.1131113111311,0.01,76.68466846684669,5.457025659365362,-14.118797287789224,86.5757\pm{4.7245},86.5757+-4.7245
23,ft_448,aircraft,hideit_base_patch16_224.fb_in1k,,,,89.2461,3.7891,92.95829582958297,0.01,80.66906690669066,4.245662198337791,-11.324806060387933,89.2461\pm{3.7891},89.2461+-3.7891
23,ft_448,aircraft,hivit_base_patch16_224_miil.in21k,,,,86.3193,6.1048,92.25622562256224,0.01,72.48724872487249,7.072297926011436,-18.243550913909132,86.3193\pm{6.1048},86.3193+-6.1048
23,ft_448,aircraft,hideit3_base_patch16_224.fb_in1k,,,,88.6942,6.0918,93.59135913591358,0.01,73.55985598559856,6.868323034168007,-18.20672984275166,88.6942\pm{6.0918},88.6942+-6.0918
23,ft_448,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,88.0263,9.4438,94.1029102910291,0.01,63.63036303630363,10.72843733866328,-28.224255784302997,88.0263\pm{9.4438},88.0263+-9.4438
23,ft_448,aircraft,hivit_base_patch16_224.in1k_mocov3,,,,84.8765,11.9498,91.77767776777677,0.01,52.24122412241224,14.079076994649013,-35.70870849005117,84.8765\pm{11.9498},84.8765+-11.9498
23,ft_448,aircraft,hivit_base_patch16_224.dino,,,,70.8316,27.9283,89.06240624062406,0.003,13.86888688868887,39.42907326773271,-83.39049366479084,70.8316\pm{27.9283},70.8316+-27.9283
23,ft_448,aircraft,hivit_base_patch16_clip_224.laion2b,,,,66.8988,26.4487,89.5994599459946,1e-05,20.10801080108011,39.53536032407303,-78.95070894455206,66.8988\pm{26.4487},66.8988+-26.4487
23,ft_448,aircraft,hivit_base_patch16_siglip_224.v2_webli,,,,79.8223,20.4896,95.03750375037504,0.003,43.65436543654366,25.66900808276914,-61.21211815862694,79.8223\pm{20.4896},79.8223+-20.4896
23,ft_448,aircraft,hivit_base_patch16_224.mae,,,,77.0362,19.1072,90.35403540354037,0.01,39.71497149714971,24.802834582165715,-57.073458111194604,77.0362\pm{19.1072},77.0362+-19.1072
