method,SoyLocal,Average
RN TV1,49.1786,49.1786
RN TV2,53.3238,53.3238
RN Gluon,49.7976,49.7976
RN IN21k-P,50.3667,50.3667
RN A1,48.6838,48.6838
RN IG1b,41.6857,80.5983
RN YFCC100m,46.3599,46.3599
RN SupCon,43.1881,43.1881
RN SwAV,57.7381,57.7381
RN MoCo v3,50.7857,50.7857
RN SparK,31.3214,31.3214
ViT,52.2643,52.2643
DeiT,53.4333,53.4333
ViT IN21k-P,51.0595,51.0595
DeiT 3 (IN1k),48.0929,48.0929
DeiT 3 (IN21k),44.3929,44.3929
ViT MoCo v3,49.5976,49.5976
ViT DINO,42.0952,42.0952
ViT CLIP,40.5952,40.5952
ViT SigLIP v2,36.3595,36.3595
ViT MAE,46.3333,46.3333
