method,SoyLocal,Average
RN TV1,10.576330390882976,10.576330390882976
RN TV2,5.228403663069775,5.228403663069775
RN Gluon,6.147064935145111,6.147064935145111
RN IN21k-P,7.41506677161169,7.41506677161169
RN A1,14.420541786556388,14.420541786556388
RN IG1b,35.070645822913725,22.484689755440268
RN YFCC100m,24.64453736784599,24.64453736784599
RN SupCon,25.166661892235926,25.166661892235926
RN SwAV,5.526446614081013,5.526446614081013
RN MoCo v3,4.871533016118812,4.871533016118812
RN SparK,56.02432572528551,56.02432572528551
ViT,9.035056881976315,9.035056881976315
DeiT,17.283557575109874,17.283557575109874
ViT IN21k-P,10.60247802798787,10.60247802798787
DeiT 3 (IN1k),20.100406374811104,20.100406374811104
DeiT 3 (IN21k),26.647626453215434,26.647626453215434
ViT MoCo v3,12.235164229657094,12.235164229657094
ViT DINO,38.17649420356204,38.17649420356204
ViT CLIP,36.75516767977755,36.75516767977755
ViT SigLIP v2,42.92645990740861,42.92645990740861
ViT MAE,21.639829944333734,21.639829944333734
