serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
55,,soylocal,hiresnet50.tv_in1k,0,,,,32.9833,18.3329,54.5,5e-05,5.166666666666667,55.58232653474814,-54.4428888407858,32.9833\pm{18.3329},32.9833+-18.3329
55,,soylocal,hiresnet50.tv2_in1k,0,,,,33.6,21.034,58.333333333333336,0.0001,5.666666666666667,62.601049299686636,-62.47584720108726,33.6\pm{21.034},33.6+-21.034
55,,soylocal,hiresnet50.gluon_in1k,0,,,,33.45,20.8487,59.333333333333336,0.0001,3.333333333333333,62.32785778807006,-61.92272671244761,33.45\pm{20.8487},33.45+-20.8487
55,,soylocal,hiresnet50.in21k_miil,0,,,,37.4667,14.2471,57.833333333333336,0.0001,10.0,38.02610400659996,-42.361079863352344,37.4667\pm{14.2471},37.4667+-14.2471
55,,soylocal,hiresnet50.a1_in1k,0,,,,32.25,13.9078,53.5,0.0001,16.166666666666668,43.125024591675235,-41.29221104652903,32.25\pm{13.9078},32.25+-13.9078
55,,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,0,,,,26.4333,19.653,54.833333333333336,5e-05,2.333333333333333,74.34945718432849,-58.21562497532921,26.4333\pm{19.653},26.4333+-19.653
55,,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0,,,,32.0667,21.5233,57.16666666666666,5e-05,5.0,67.12061422878372,-63.898824745802095,32.0667\pm{21.5233},32.0667+-21.5233
55,,soylocal,hiresnet50.in1k_supcon,0,,,,28.7,19.6112,55.5,5e-05,4.5,68.33156210943359,-58.150159355127975,28.7\pm{19.6112},28.7+-19.6112
55,,soylocal,hiresnet50.in1k_swav,0,,,,46.95,15.488,63.5,0.0001,10.333333333333334,32.98819656112972,-46.13399289073991,46.95\pm{15.488},46.95+-15.488
55,,soylocal,hiresnet50.in1k_mocov3,0,,,,43.0667,14.1564,57.333333333333336,0.0001,9.0,32.870800089119726,-42.14036571425148,43.0667\pm{14.1564},43.0667+-14.1564
55,,soylocal,hiresnet50.in1k_spark,0,,,,13.65,9.6566,33.166666666666664,1e-05,5.833333333333333,70.74423426391975,-28.26232158843594,13.65\pm{9.6566},13.65+-9.6566
55,,soylocal,hivit_base_patch16_224.orig_in21k,0,,,,36.3,18.3407,52.16666666666666,0.0001,6.166666666666667,50.5253597477421,-54.516863167813725,36.3\pm{18.3407},36.3+-18.3407
