method,Aircraft,Cars,CUB,Average
RN TV1,94.39093909390938,94.46677242546583,88.74209754011224,94.46677242546583
RN TV2,94.1029102910291,93.99704562895649,88.94508263115985,94.1029102910291
RN Gluon,94.33993399339934,94.43328550932569,87.4383721585869,94.43328550932569
RN IN21k-P,93.90246716979392,93.81323157840455,89.09994311745517,93.90246716979392
RN A1,93.6018601860186,93.3072879541132,87.63963820245425,93.6018601860186
RN IG1b,94.27242724272426,94.52403990524174,87.90327127802219,94.52403990524174
RN YFCC100m,94.22892289228923,94.5668085209642,88.02422343762677,94.5668085209642
RN SupCon,94.38043804380438,94.8117119275906,87.52638737421731,94.8117119275906
RN SwAV,94.23042304230422,94.1417916106782,88.64122385157333,94.23042304230422
RN MoCo v3,94.4959495949595,94.01591235163689,87.63372468015407,94.4959495949595
RN SparK,92.05670567056706,92.81159666465462,79.9386122279645,92.81159666465462
ViT,91.1131113111311,91.97575838462028,92.57763560875586,92.57763560875586
DeiT,92.95829582958297,93.5240429384769,90.19785545426166,93.5240429384769
ViT IN21k-P,92.25622562256224,92.2222997382318,91.77325905215864,92.25622562256224
DeiT 3 (IN1k),93.59135913591358,93.23279169864202,90.68592732968712,93.59135913591358
DeiT 3 (IN21k),94.1029102910291,93.63390671588596,92.53349047716624,94.1029102910291
ViT MoCo v3,91.77767776777677,92.99092152717324,89.81533307570545,92.99092152717324
ViT DINO,89.06240624062406,90.08320164037356,88.02408591385235,90.08320164037356
ViT CLIP,89.5994599459946,90.99845001683444,83.22498751971747,90.99845001683444
ViT SigLIP v2,95.03750375037504,95.57511655206092,89.70510777050583,95.57511655206092
ViT MAE,90.35403540354037,93.21410697007106,87.62464811104219,93.21410697007106
