method,Aircraft,Cars,CUB,Average
RN TV1,67.3932,68.0681,63.9658,66.4757
RN Gluon,67.7057,70.8191,64.6976,67.7408
RN IN21k-P,73.4503,73.2171,77.7872,74.8182
RN A1,63.574,68.6,63.1594,65.1111
RN TV2,65.1531,67.2172,60.9281,64.4328
RN IG1b,77.0646,78.3278,77.3431,77.5785
RN YFCC100m,74.3239,75.8684,76.2411,75.4778
RN SupCon,72.4007,76.7832,63.5328,70.9056
RN SwAV,72.8057,73.8474,59.5949,68.7493
RN MoCo v3,75.0343,79.0333,66.3627,73.4768
RN SparK,54.8903,47.806,29.5414,44.0792
ViT,56.2644,52.6496,85.1062,64.6734
DeiT,66.4864,68.8456,77.9266,71.0862
ViT IN21k-P,44.4748,24.6091,44.4734,37.8524
DeiT 3 (IN1k),70.1385,73.4236,79.4256,74.3292
DeiT 3 (IN21k),73.9172,74.4804,86.7777,78.3918
ViT MoCo v3,69.0946,73.1311,76.6898,72.9718
ViT DINO,76.5243,78.4195,83.2809,79.4082
ViT CLIP,74.4056,92.8636,81.8877,83.0523
ViT SigLIP v2,44.037,36.6274,46.5989,42.4211
ViT MAE,55.3421,42.5949,42.3244,46.7538
