method,Aircraft,Cars,CUB,Average
RN TV1,1.0664796374733878,2.3352587691239353,3.1902927130800602,4.481976561808627
RN TV2,0.8349678127188818,0.69196597016222,2.0216953291971698,3.810784782031878
RN Gluon,1.163479843062789,2.46069997596296,3.4109250603886103,4.927408829490288
RN IN21k-P,1.0020159835853906,0.7036275531739327,2.6016531067884485,3.3739572992225066
RN A1,2.063596938946918,1.6054015852128727,2.7435830559450447,4.106441568899297
RN IG1b,1.4994289698762562,4.8436858347014065,5.543106940227396,6.007407179046003
RN YFCC100m,1.3499712623438562,2.4611736806348863,5.773466162647394,5.56416562934259
RN SupCon,1.2983827040758225,2.67530327569991,4.996878549662532,5.713220061965737
RN SwAV,1.0332869729993968,0.7172903048053136,1.589394018251828,3.2808810633229664
RN MoCo v3,0.8398543193240493,0.4971628285387403,1.6710914565646648,3.8381772711823614
RN SparK,2.325312325842401,5.181227477754176,8.612532180891645,10.095023528339624
ViT,5.457025659365362,7.479001405665447,18.223488227035926,11.625055555967073
DeiT,4.245662198337791,14.96845002837068,16.40864570668113,13.032405023848034
ViT IN21k-P,7.072297926011436,26.92360776498775,15.169811027925062,17.808203253712648
DeiT 3 (IN1k),6.868323034168007,19.594451439456666,11.61902323353745,13.310211024949648
DeiT 3 (IN21k),10.72843733866328,19.671590085279476,21.25789196180986,17.141724249952837
ViT MoCo v3,14.079076994649013,26.74694688602951,16.43092341051555,19.125824543822624
ViT DINO,39.42907326773271,55.95851594605404,25.120857649903215,39.3302174932406
ViT CLIP,39.53536032407303,53.680868946298055,52.75398156468547,47.27004008579384
ViT SigLIP v2,25.66900808276914,36.15119883298167,26.604502890555835,28.699333202665695
ViT MAE,24.802834582165715,26.249595921749037,28.25860954510887,26.068267290286045
