serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,aircraft,hideit3_base_patch16_224.fb_in1k,,,,90.22,0.01,77.814,0.0,0.0,23.6407,0.0,0.0,30.380996881365974,0.0,0.0,6.8919932602016445,0.0,0.0
32,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,89.95,0.01,76.202,0.0,0.0,22.1054,0.0,0.0,29.00890364899617,0.0,0.0,9.885905724175814,0.0,0.0
32,aircraft,hideit_base_patch16_224.fb_in1k,,,,90.76,0.01,78.678,0.0,0.0,20.5644,0.0,0.0,26.137363997033678,0.0,0.0,16.98493426324154,0.0,0.0
32,aircraft,hiresnet50.a1_in1k,,,,91.96,0.0005,89.269,0.0,0.0,2.1427,0.0,0.0,2.4002855411974937,0.0,0.0,82.84086730068523,0.0,0.0
32,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,92.77,0.01,90.58,0.0,0.0,1.9579,0.0,0.0,2.1615224616932176,0.0,0.0,84.70627886259484,0.0,0.0
32,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,92.95,0.01,90.232,0.0,0.0,2.7784,0.0,0.0,3.0791604107825195,0.0,0.0,81.89683593442815,0.0,0.0
32,aircraft,hiresnet50.gluon_in1k,,,,92.17,0.03,89.929,0.0,0.0,1.5099,0.0,0.0,1.678995619273425,0.0,0.0,85.39928808863081,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_mocov3,,,,92.6793,0.0001,90.9661,0.0,0.0,1.4327,0.0,0.0,1.575024664090497,0.0,0.0,86.66789399460893,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_spark,,,,90.5791,5e-05,87.3837,0.0,0.0,2.6284,0.0,0.0,3.007849921063616,0.0,0.0,79.4986247361627,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_supcon,,,,93.3093,0.03,91.3081,0.0,0.0,2.128,0.0,0.0,2.33061009025364,0.0,0.0,84.9240112261773,0.0,0.0
32,aircraft_baseline,hiresnet50.in1k_swav,,,,92.4092,0.0001,90.7651,0.0,0.0,1.5773,0.0,0.0,1.7377881024995372,0.0,0.0,86.03315623694388,0.0,0.0
32,aircraft_baseline,hiresnet50.in21k_miil,,,,92.9793,0.0001,90.7921,0.0,0.0,1.5445,0.0,0.0,1.7010884290514487,0.0,0.0,86.1587192978746,0.0,0.0
32,aircraft,hiresnet50.tv2_in1k,,,,92.35,0.03,90.73,0.0,0.0,1.1922,0.0,0.0,1.3140359429241748,0.0,0.0,87.15332556695468,0.0,0.0
32,aircraft,hiresnet50.tv_in1k,,,,92.71,0.03,90.817,0.0,0.0,1.3335,0.0,0.0,1.4682828231789484,0.0,0.0,86.81664876542072,0.0,0.0
32,aircraft_baseline,hivit_base_patch16_224.dino,,,,89.1989,0.003,56.4326,0.0,0.0,35.5019,0.0,0.0,62.91021335269073,0.0,0.0,-50.073042673667686,0.0,0.0
32,aircraft_baseline,hivit_base_patch16_224.in1k_mocov3,,,,89.3489,0.01,80.306,0.0,0.0,14.7774,0.0,0.0,18.401375977993165,0.0,0.0,35.973786460100044,0.0,0.0
32,aircraft,hivit_base_patch16_224.mae,,,,87.01,0.01,51.378,0.0,0.0,34.5944,0.0,0.0,67.33315627559679,0.0,0.0,-52.40528709382836,0.0,0.0
32,aircraft,hivit_base_patch16_224.orig_in21k,,,,88.78,0.01,76.035,0.0,0.0,19.0067,0.0,0.0,24.997368632673595,0.0,0.0,19.014752280439893,0.0,0.0
32,aircraft,hivit_base_patch16_224_miil.in21k,,,,88.06,0.01,75.7209,0.0,0.0,17.2124,0.0,0.0,22.73132069923614,0.0,0.0,24.083821045414304,0.0,0.0
32,aircraft,hivit_base_patch16_clip_224.laion2b,,,,85.18,1e-05,57.6175,0.0,0.0,29.4344,0.0,0.0,51.085865593329785,0.0,0.0,-30.68569582471036,0.0,0.0
32,aircraft_baseline,hivit_base_patch16_siglip_224.v2_webli,,,,93.6394,0.003,80.003,0.0,0.0,23.3529,0.0,0.0,29.19001006418467,0.0,0.0,9.944351852543477,0.0,0.0
23,aircraft,hideit3_base_patch16_224.fb_in1k,,,,92.3792,0.01,86.7253,8.911300000000011,11.452052329914942,6.7543,-16.8864,-71.42935699873523,7.788100080544363,-22.59289680082161,-74.36522537112285,66.46255755269848,59.57056429249684,864.3444943060483
23,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,92.9793,0.01,86.0686,9.866600000000005,12.947954121939064,10.1712,-11.934199999999999,-53.98771340939317,11.817543266895624,-17.191360382100548,-59.26235817152449,55.55501786736602,45.669112143190205,461.9618416095874
23,aircraft,hideit_base_patch16_224.fb_in1k,,,,91.6292,0.01,87.0754,8.397400000000005,10.673123363583219,4.291,-16.2734,-79.13384295189745,4.9279160680298295,-21.209447929003847,-81.14608623658798,74.20238264782384,57.2174483845823,336.8717682258633
23,aircraft,hiresnet50.a1_in1k,,,,92.3492,0.0005,89.739,0.46999999999999886,0.52649856053053,2.4133,0.27059999999999995,12.62892612124889,2.689227803486292,0.28894226228879827,12.037828722021382,82.49912319782499,-0.3417441028602468,-0.41253081238252565
23,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,92.9193,0.03,91.2421,0.6620999999999952,0.7309560609405997,1.4484,-0.5095000000000001,-26.022779508657237,1.587438226914193,-0.5740842347790247,-26.55925371829441,86.89690217175631,2.1906233091614666,2.586140411993492
23,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,93.3093,0.03,91.5091,1.2771000000000043,1.4153515382569426,1.5824,-1.196,-43.04635761589404,1.7292704627925055,-1.349889947990014,-43.839546106887006,86.76181841367368,4.864982479245526,5.9403790436308705
23,aircraft,hiresnet50.gluon_in1k,,,,93.1893,0.03,91.2391,1.3100999999999914,1.456815932569017,1.3384,-0.17149999999999999,-11.358368103847935,1.4669176829856034,-0.21207793628782157,-12.631238214879737,87.22391164475863,1.8246235561278183,2.136579352083299
23,aircraft,hiresnet50.in1k_mocov3,,,,93.5794,0.0001,91.8632,0.8971000000000089,0.9861915592731896,1.1087,-0.32400000000000007,-22.614643679765482,1.2068952185115418,-0.3681294455789552,-23.372932117957195,88.53713193281637,1.8692379382074336,2.1567824624003293
23,aircraft,hiresnet50.in1k_spark,,,,90.8191,0.0001,87.4497,0.0660000000000025,0.07552896020654024,2.347,-0.2814000000000001,-10.706133008674481,2.683770915102104,-0.32407900596151196,-10.774440695728373,80.40888793764276,0.9102632014800633,1.1450049664393738
23,aircraft,hiresnet50.in1k_supcon,,,,93.4293,0.03,91.7042,0.3961000000000041,0.4338059821636899,1.3057,-0.8223,-38.641917293233085,1.4238697702511185,-0.9067403200025217,-38.90570644117658,87.78691656309185,2.862905336914551,3.3711376742318526
23,aircraft,hiresnet50.in1k_swav,,,,93.0393,5e-05,91.5812,0.8160999999999916,0.8991341385620591,1.3473,-0.22999999999999998,-14.581880428580487,1.4711472738019589,-0.2666408286975783,-15.343690540524307,87.53927878403137,1.506122547087486,1.7506303534180176
23,aircraft,hiresnet50.in21k_miil,,,,93.1893,0.0001,91.5572,0.7650999999999897,0.8426944635050733,1.0687,-0.4758,-30.80608611201036,1.1671961152822443,-0.5338923137692044,-31.385335685747414,88.35120515565175,2.1924858577771573,2.5447057194491545
23,aircraft,hiresnet50.tv2_in1k,,,,92.8293,0.03,91.7282,0.9981999999999971,1.1001873691171575,1.0249,-0.1673,-14.032880389196444,1.1173102640792167,-0.19672567884495806,-14.971103332773136,88.65350522461391,1.5001796576592312,1.7213108597981532
23,aircraft,hiresnet50.tv_in1k,,,,93.1893,0.01,91.7102,0.8932000000000073,0.9835163020139482,1.1881,-0.14539999999999997,-10.903637045369328,1.2954427373288386,-0.1728400858501098,-11.7715799110077,88.1460214013964,1.3293726359756732,1.5312415934962529
23,aircraft,hivit_base_patch16_224.dino,,,,87.0687,0.003,67.7918,11.359199999999994,20.128790805314647,28.595,-6.9069,-19.45501508369975,42.18060215404077,-20.729611198649962,-32.95110617799762,-17.99315840001161,32.07988427365608,-64.06617724975236
23,aircraft,hivit_base_patch16_224.in1k_mocov3,,,,89.979,0.01,82.5803,2.2742999999999967,2.8320424376758857,12.3073,-2.4701000000000004,-16.715389716729604,14.903425759837788,-3.4979502181553777,-19.00917747856843,45.65839124688467,9.684604786784625,26.921282799980496
23,aircraft,hivit_base_patch16_224.mae,,,,88.6889,0.01,74.5074,23.129400000000004,45.01810113278058,19.5991,-14.9953,-43.346032883934974,26.30485947424168,-41.02829680135511,-60.933274289749555,15.71020876756505,68.11549586139341,-129.9782896703474
23,aircraft,hivit_base_patch16_224.orig_in21k,,,,89.2889,0.01,83.9984,7.963400000000007,10.47333464851714,5.2493,-13.757399999999999,-72.38184429701104,6.249338693064895,-18.7480299396087,-75.00001386187304,68.25035743373552,49.23560515329562,258.9337185525332
23,aircraft,hivit_base_patch16_224_miil.in21k,,,,90.5791,0.01,83.8884,8.167500000000004,10.786321874145717,6.6588,-10.5536,-61.31393646440938,7.937745013398058,-14.793575685838082,-65.08014154380041,63.91185813654174,39.828037091127435,165.37258359470712
23,aircraft,hivit_base_patch16_clip_224.laion2b,,,,87.7888,1e-05,63.9477,6.330199999999998,10.986592615090897,27.2108,-2.223600000000001,-7.554426113662929,42.55173060273922,-8.534134990590566,-16.70547203511583,-17.684848721246674,13.000847103463688,-42.36777675738563
23,aircraft,hivit_base_patch16_siglip_224.v2_webli,,,,94.0894,0.003,77.5706,-2.4324000000000012,-3.0403859855255444,21.5584,-1.7945000000000029,-7.684270476043672,27.791984563567667,-1.3980255006170026,-4.789397117517068,12.89537721612706,2.9510253635835824,29.675391693112665
40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1.0,25.0,91.6892,0.01,73.1293,-4.684699999999992,-6.020381936412462,33.23,9.589299999999998,40.562673694095345,45.43999261255326,15.058995731187288,49.567154725010504,-26.560552816831304,-33.45254607703295,-485.3827450790949
40,aircraft_pl,hideit3_base_patch16_224.fb_in22k_ft_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1.0,25.0,92.5293,0.01,75.6796,-0.5224000000000046,-0.6855463111204492,30.1159,8.0105,36.2377518615361,39.79402271681772,10.785119067821551,37.178651073201664,-14.668267771576708,-24.554173495752522,-248.37555789861224
40,aircraft_pl,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1.0,25.0,91.3291,0.01,87.0954,8.4174,10.698543430183788,4.4115,-16.1529,-78.54787885861003,5.065080563260707,-21.07228343377297,-80.62130303639057,73.86103404656657,56.87609978332503,334.8620542289361
40,aircraft_pl,hiresnet50.a1_in1k,hiresnet50.a1_in1k,-1.0,25.0,91.8392,0.0005,89.0369,-0.23210000000000264,-0.2600006721258249,2.7357,0.593,27.67536285994306,3.072536389480054,0.6722508482825602,28.007119850714787,80.8298265423051,-2.0110407583801333,-2.4275950070400802
