serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,soylocal,hideit3_base_patch16_224.fb_in1k,,,,48.5,5e-05,30.4444,0.0,0.0,18.0603,0.0,0.0,59.32200286278019,0.0,0.0,-23.73631817022813,0.0,0.0
32,soylocal,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,58.3333,5e-06,32.1,0.0,0.0,20.4026,0.0,0.0,63.55957682827095,0.0,0.0,-29.10786341775188,0.0,0.0
32,soylocal,hideit_base_patch16_224.fb_in1k,,,,51.8333,0.01,35.9444,0.0,0.0,15.8968,0.0,0.0,44.22599370818517,0.0,0.0,-11.745915139995104,0.0,0.0
32,soylocal,hiresnet50.a1_in1k,,,,53.5,0.0001,32.25,0.0,0.0,13.9078,0.0,0.0,43.125002205223176,0.0,0.0,-9.473442571054086,0.0,0.0
32,soylocal,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,57.1667,5e-05,32.0667,0.0,0.0,21.5233,0.0,0.0,67.12058295719292,0.0,0.0,-32.503347653052764,0.0,0.0
32,soylocal,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,54.8333,5e-05,26.4333,0.0,0.0,19.653,0.0,0.0,74.34945374060004,0.0,0.0,-32.52576707651434,0.0,0.0
32,soylocal,hiresnet50.gluon_in1k,,,,59.3333,0.0001,33.45,0.0,0.0,20.8487,0.0,0.0,62.32786398406481,0.0,0.0,-29.09601150800904,0.0,0.0
32,soylocal,hiresnet50.in1k_mocov3,,,,57.3333,0.0001,43.0667,0.0,0.0,14.1564,0.0,0.0,32.87080313229934,0.0,0.0,0.5975889272298716,0.0,0.0
32,soylocal,hiresnet50.in1k_spark,,,,33.1667,1e-05,13.65,0.0,0.0,9.6566,0.0,0.0,70.7442200417118,0.0,0.0,-15.319769330346988,0.0,0.0
32,soylocal,hiresnet50.in1k_supcon,,,,55.5,5e-05,28.7,0.0,0.0,19.6112,0.0,0.0,68.33152353861581,0.0,0.0,-30.133452266205275,0.0,0.0
32,soylocal,hiresnet50.in1k_swav,,,,63.5,0.0001,46.95,0.0,0.0,15.488,0.0,0.0,32.98823297886028,0.0,0.0,0.4860738492752929,0.0,0.0
32,soylocal,hiresnet50.in21k_miil,,,,57.8333,0.0001,37.4667,0.0,0.0,14.2471,0.0,0.0,38.02610135967029,0.0,0.0,-5.274670323049136,0.0,0.0
32,soylocal,hiresnet50.tv2_in1k,,,,58.3333,0.0001,33.6,0.0,0.0,21.0339,0.0,0.0,62.601057694484105,0.0,0.0,-29.50185737572268,0.0,0.0
32,soylocal,hiresnet50.tv_in1k,,,,54.5,5e-05,32.9833,0.0,0.0,18.3329,0.0,0.0,55.5823028436044,0.0,0.0,-22.01535310551626,0.0,0.0
32,soylocal,hivit_base_patch16_224.dino,,,,60.0,5e-06,41.6296,0.0,0.0,20.8473,0.0,0.0,50.07803623677132,0.0,0.0,-20.912269682804123,0.0,0.0
32,soylocal,hivit_base_patch16_224.in1k_mocov3,,,,47.1667,5e-05,28.4,0.0,0.0,16.2639,0.0,0.0,57.26710689352696,0.0,0.0,-20.39158943354911,0.0,0.0
32,soylocal,hivit_base_patch16_224.mae,,,,58.8333,0.0001,48.5667,0.0,0.0,10.5842,0.0,0.0,21.79319267407682,0.0,0.0,16.813982632508605,0.0,0.0
32,soylocal,hivit_base_patch16_224.orig_in21k,,,,52.1667,0.0001,36.3,0.0,0.0,18.3407,0.0,0.0,50.52532585761323,0.0,0.0,-18.72208501653857,0.0,0.0
32,soylocal,hivit_base_patch16_224_miil.in21k,,,,53.8333,0.03,36.2666,0.0,0.0,18.2121,0.0,0.0,50.21716011109562,0.0,0.0,-18.369595092291988,0.0,0.0
32,soylocal,hivit_base_patch16_clip_224.laion2b,,,,58.8333,5e-06,43.4333,0.0,0.0,11.2834,0.0,0.0,25.978767594567177,0.0,0.0,9.583000628525454,0.0,0.0
32,soylocal,hivit_base_patch16_siglip_224.v2_webli,,,,54.0,0.01,41.8148,0.0,0.0,13.8715,0.0,0.0,33.173745006883,0.0,0.0,0.2001946717817659,0.0,0.0
