Model,Mixing Type,Image size,Params (G),MACs (M),Throughput (img/s),,,,Top-1 (%)
,,,,,A100,,2080Ti,,
,,,,,Train,Infer,Train,Infer,
MobileNetV2 (1.4),Conv,224,6.1,0.6,1001,5190,471,1859,74.7
EfficientNet-B0,Conv,224,5.3,0.4,954,5502,464,1944,77.1
GhostNet 1.3X,Conv,224,7.3,0.24,946,7451,589,2757,75.7
ConvNeXt-A,Conv,224,3.7,0.55,835,4539,345,1568,75.7
InceptionNeXt-A (Ours),Conv,224,4.2,0.51,2661,9876,992,3595,75.3
DeiT-S,Attn,224,22,4.6,1227,3781,276,784,79.8
T2T-ViT-14,Attn,224,22,4.8,-,-,-,-,81.5
TNT-S,Attn,224,24,5.2,-,-,-,-,81.5
Swin-T,Attn,224,29,4.5,564,1768,184,554,81.3
Focal-T,Attn,224,29,4.9,-,-,-,-,82.2
ResNet-50,Conv,224,26,4.1,969,3149,278,977,78.4
RSB-ResNet-50,Conv,224,26,4.1,969,3149,278,977,79.8
RegNetY-4G,Conv,224,21,4,670,2694,222,859,81.3
FocalNet-T,Conv,224,29,4.5,-,-,-,-,82.3
ConvNeXt-T,Conv,224,29,4.5,575,2413,177,590,82.1
InceptionNeXt-T (Ours),Conv,224,28,4.2,901,2900,254,822,82.3
T2T-ViT-19,Attn,224,39,8.5,-,-,-,-,81.9
PVT-Medium,Attn,224,44,6.7,-,-,-,-,81.2
Swin-S,Attn,224,50,8.7,359,1131,109,328,83
Focal-S,Attn,224,51,9.1,-,-,-,-,83.5
RSB-ResNet-101,Conv,224,45,7.9,620,2057,168,592,81.3
RegNetY-8G,Conv,224,39,8,689,1326,124,480,82.1
FocalNet-S,Conv,224,50,8.7,-,-,-,-,83.5
ConvNeXt-S,Conv,224,50,8.7,361,1535,105,353,83.1
InceptionNeXt-S (Ours),Conv,224,49,8.4,521,1750,130,447,83.5
DeiT-B,Attn,224,86,17.5,541,1608,86,259,81.8
T2T-ViT-24,Attn,224,64,13.8,-,-,-,-,82.3
TNT-B,Attn,224,66,14.1,-,-,-,-,82.9
PVT-Large,Attn,224,62,9.8,-,-,-,-,81.7
Swin-B,Attn,224,88,15.4,271,843,72,223,83.5
Focal-B,Attn,224,90,16,-,-,-,-,83.8
RSB-ResNet-152,Conv,224,60,11.6,437,1457,115,415,81.8
RegNetY-16G,Conv,224,84,15.9,322,1100,76,295,82.2
RepLKNet-31B,Conv,224,79,15.3,-,-,-,-,83.5
FocalNet-B,Conv,224,89,15.4,-,-,-,-,83.9
ConvNeXt-B,Conv,224,89,15.4,267,1122,68,236,83.8
InceptionNeXt-B (Ours),Conv,224,87,14.9,375,1244,80,287,84
DeiT-B,Attn,384,86,55.4,131,361,25,73,83.1
Swin-B,Attn,384,88,47.1,104,296,21,65,84.5
RepLKNet-31B,Conv,384,79,45.1,-,-,-,-,84.8
ConvNeXt-B,Conv,384,89,45,95,393,23,79,85.1
InceptionNeXt-B (Ours),Conv,384,87,43.6,139,428,27,97,85.2
