(a),,,,,,,,,,,,,,,,
,ImageNet,,,,NABirds,,,,COCO,,,,NUS-WIDE,,,
DeiT-B,81.85,,,,83.32,,,,80.93,,,,64.37,,,
r(%),25,50,70,90,25,50,70,90,25,50,70,90,25,50,70,90
?1,71.23,74.96,78.94,81.04,59.79,71.57,78.92,82.42,58.28,69.27,76.23,79.65,53.01,60.1,63.25,64.14
?2 ,71.41,75.4,79.07,81.18,61.55,73.24,79.52,82.55,59.69,70.33,76.56,79.75,54,60.37,63.29,64.28
?? ,71.67,74.4,78.95,81.2,59.96,70.51,79.73,82.59,58.48,68.5,76.54,79.89,53,59.59,63.12,64.25
Top-K,73.63,78.97,80.91,82.03,74.71,82.22,83.2,83.4,67.63,76.91,79.95,80.97,58.51,62.78,63.92,64.4
EViT,75.26,79.22,80.99,82,74.73,82,83.19,83.33,68.93,76.92,79.87,80.92,59,62.88,63.9,64.43
DynamicViT,27.94,74.58,80.68,81.76,49.23,82.3,83.16,83.23,24.88,62.79,76.54,80.64,28.56,55.51,60.73,63.83
ATS,73.89,78.94,80.78,81.57,71,80.1,82.58,83.26,68.17,76.38,79.35,80.5,59.49,63.17,64.21,64.48
ToMe,-,78.89,81.05,82,-,73.67,81.59,82.98,-,74.11,78.82,80.48,-,62.38,64.06,64.35
K-Medoids,69.12,76.86,79.98,81.76,57.54,75.29,80.62,82.57,61.79,73.6,77.58,80.32,56.67,62.18,63.53,64.35
DPC-KNN,69.4,75.87,79.06,81.05,58.16,67.36,72.83,78.29,65.99,73.32,77.03,79.76,58.58,61.39,62.96,63.87
SiT,68.39,75.53,76.63,77.26,65.09,70.75,70.36,68.96,54.86,53.27,53.16,52.73,56.12,59.76,60.64,61.08
PatchMerger,58.78,70.63,74.52,76.76,40.38,57.21,62.2,67.06,54.25,66.22,70.97,73.72,51.8,58.83,60.79,62.09
Sinkhorn,63.37,63.33,63.36,63.5,42.89,42.33,41.72,42.86,52.57,52.33,52.21,52.12,47.55,47.41,47.26,47.48
,,,,,,,,,,,,,,,,
(b),,,,,,,,,,,,,,,,
,ImageNet,,,,NABirds,,,,COCO,,,,NUS-WIDE,,,
DeiT-T,72.2,,,,74.16,,,,71.09,,,,59.27,,,
r(%),25,50,70,90,25,50,70,90,25,50,70,90,25,50,70,90
?1,58.58,62.27,67.91,71.06,51.82,59.25,68.36,73.47,49.09,58.27,67.03,70.24,44.81,52.64,57.3,58.73
?2 ,58.85,62.91,67.91,71.13,53.1,60.87,69.2,73.42,50.46,60,67.33,69.98,45.73,53.45,57.34,58.54
?? ,59.08,61.92,67.79,71.38,52.6,57.7,69.25,73.34,50.08,57.3,67.22,69.89,45.32,51.91,57.41,58.3
Top-K,62.19,68.55,70.96,71.85,62.14,73.19,74.57,74.64,60.31,67.47,70.2,71.65,52.2,57.02,58.6,59.5
EViT,64.11,68.69,71.06,71.83,64.13,73.24,74.49,74.53,61.44,67.62,70.25,71.63,53.09,57.26,58.64,59.49
DynamicViT,36.93,67.4,70.94,72.14,57.38,72.54,73.97,74.3,24.67,61.7,68.83,71.3,28.09,49.36,56.79,58.95
ATS,62.63,68.61,70.77,71.71,64.53,71.07,73.71,74.43,60.97,67.37,69.88,71.1,52.85,57.3,58.55,59.2
ToMe,-,69.72,71.74,72.16,-,66.61,73.65,74.5,-,65.66,69.7,71.16,-,55.32,57.78,58.98
K-Medoids,57.5,65.82,69.9,71.5,44.62,66.52,72.09,74.04,54.08,64.83,69.09,71.05,49.13,55.92,58.38,59.07
DPC-KNN,64.56,69.68,71.1,71.88,64.23,71.05,73.02,74.05,63.32,68.03,69.55,70.84,55.37,57.33,58.08,58.88
SiT,63.43,67.98,68.99,68.9,36.35,36.65,34,35.07,48.01,47.5,46.98,46.48,36.67,38.15,36.98,37.7
PatchMerger,60.38,64.8,66.81,68.09,38.83,54.2,59.94,62.6,52.49,59.69,62.63,64.3,47.56,52.69,54.33,55.37
Sinkhorn,53.61,53.49,53.19,53.51,36.94,35.98,37.29,36.19,50.47,49.52,49.12,49.01,45.77,44.81,44.52,44.2
