serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,25,91.6892,0.01,73.1293,0.0,0.0,33.23,0.0,0.0,45.43999261255326,0.0,0.0,-99.23547289070576,0.0,0.0
40,cars_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,25,93.1103,0.03,73.4946,0.0,0.0,36.1277,0.0,0.0,49.15698441044676,0.0,0.0,-107.89163209655148,0.0,0.0
40,cub_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,25,88.4363,0.01,82.6948,0.0,0.0,6.7248,0.0,0.0,8.132098109454985,0.0,0.0,-20.09313497836072,0.0,0.0
40,aircraft_pl,hideit3_base_patch16_224.fb_in22k_ft_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1,25,92.5293,0.01,75.6796,0.0,0.0,30.1159,0.0,0.0,39.79402271681772,0.0,0.0,-89.94990754440853,0.0,0.0
40,cars_pl,hideit3_base_patch16_224.fb_in22k_ft_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1,25,93.6202,0.03,73.665,0.0,0.0,36.2729,0.0,0.0,49.24038786881994,0.0,0.0,-108.32634697566134,0.0,0.0
40,cub_pl,hideit3_base_patch16_224.fb_in22k_ft_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1,25,90.6628,0.01,76.669,0.0,0.0,22.733,0.0,0.0,29.65081548748822,0.0,0.0,-67.90242523294285,0.0,0.0
40,aircraft_pl,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1,25,91.3291,0.01,87.0954,0.0,0.0,4.4115,0.0,0.0,5.065080563260707,0.0,0.0,-13.183704036689704,0.0,0.0
40,cars_pl,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1,25,92.9362,0.03,86.877,0.0,0.0,11.2607,0.0,0.0,12.961665484793231,0.0,0.0,-33.65249739426836,0.0,0.0
40,cub_pl,hideit_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1,25,88.3845,0.03,77.0349,0.0,0.0,19.4085,0.0,0.0,25.194475179764613,0.0,0.0,-57.97364885394416,0.0,0.0
40,aircraft_pl,hiresnet50.a1_in1k,hiresnet50.a1_in1k,-1,25,91.8392,0.0005,89.0369,0.0,0.0,2.7357,0.0,0.0,3.072536389480054,0.0,0.0,-8.176348093800097,0.0,0.0
