serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,25,91.6892,0.01,73.1293,0.0,0.0,33.23,0.0,0.0,45.43999261255326,0.0,0.0,-99.23547289070576,0.0,0.0
40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,50,92.3492,0.01,86.692,0.0,0.0,6.4759,0.0,0.0,7.469955517172183,0.0,0.0,-19.352861955669,0.0,0.0
40,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in1k,-1,70,92.0192,0.01,86.1086,0.0,0.0,7.1842,0.0,0.0,8.34314456448937,0.0,0.0,-21.46906627677697,0.0,0.0
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit3_base_patch16_224.fb_in22k_ft_in1k,-1,50,92.2892,0.01,78.5854,5.456100000000006,7.460894607223104,29.2434,-3.9865999999999957,-11.996990671080336,37.212237502509375,-8.227755110043887,-18.106858379573957,-87.35797887750965,11.877494013196113,-11.969000264933024
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hideit_base_patch16_224.fb_in1k,-1,50,91.7492,0.01,85.0472,11.917900000000003,16.297024585220978,10.3449,-22.885099999999994,-68.8687932591032,12.163712042012191,-33.27628057054107,-73.23126316122718,-30.913066087138507,68.32240680356726,-68.84877434787357
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.a1_in1k,-1,50,92.4392,0.01,85.066,11.936700000000002,16.32273247521855,9.5565,-23.673499999999997,-71.24134817935601,11.234219317502363,-34.205773295050896,-75.27680206004523,-28.557160820704667,70.6783120700011,-71.22282991269014
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.fb_ssl_yfcc100m_ft_in1k,-1,50,91.7192,0.01,86.9224,13.793099999999995,18.8612498683838,5.4239,-27.806099999999997,-83.67770087270539,6.2398788889122105,-39.20011372364105,-86.26786993097271,-16.20916803293669,83.02630485776908,-83.6659537554793
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.fb_swsl_ig1b_ft_in1k,-1,50,91.9592,0.01,85.0456,11.916299999999993,16.29483667968925,9.5769,-23.653099999999995,-71.17995786939511,11.260905954183793,-34.17908665836947,-75.218072656392,-28.61811569517726,70.61735719552851,-71.1614054314064
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.gluon_in1k,-1,50,92.1692,0.01,84.3513,11.221999999999994,15.34542242302332,11.4325,-21.7975,-65.59584712609089,13.55344688706012,-31.886545725493143,-70.17286731838983,-34.16198565464354,65.07348723606222,-65.57482454659305
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.in1k_mocov3,-1,50,92.0792,0.01,86.3636,13.234300000000005,18.09712386143448,6.8374,-26.392599999999998,-79.42401444477882,7.917001885057304,-37.52299072749596,-82.57701766687754,-20.43305943891089,78.80241345179488,-79.40952076540705
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.in1k_spark,-1,50,92.0792,0.01,85.9586,12.829300000000003,17.54331027372066,8.1239,-25.106099999999998,-75.5525127896479,9.450990984063816,-35.98900162848945,-79.20116082621703,-24.27730464781709,74.95816824288868,-75.53565883184211
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.in1k_supcon,-1,50,92.0792,0.01,79.5417,6.412400000000005,8.768578394706369,25.9094,-7.320599999999995,-22.030093289196497,32.573323623540986,-12.866668989012275,-28.31573741378146,-77.40240504875925,21.833067841946516,-22.00127354256944
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.in1k_swav,-1,50,92.3192,0.01,84.2259,11.096599999999995,15.173945326975636,12.1908,-21.039199999999997,-63.31387300631958,14.47393723298171,-30.96605537957155,-68.14713999539,-36.42767775513847,62.8077951355673,-63.29167716542395
51,aircraft_pl,hideit3_base_patch16_224.fb_in1k,hiresnet50.in21k_miil,-1,50,92.1692,0.01,84.227,11.097700000000003,15.1754495120287,11.404,-21.825999999999997,-65.68161300030094,13.53959365530468,-31.900398957248584,-70.20335418900525,-34.07657310224138,65.15889978846438,-65.66089513195342
