serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,cub,hideit3_base_patch16_224.fb_in1k,,,,87.81,0.01,76.452,0.0,0.0,18.6982,0.0,0.0,24.45740474330535,0.0,0.0,-55.84995117562236,0.0,0.0
32,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,90.18,0.01,76.836,0.0,0.0,21.0371,0.0,0.0,27.37924064543156,0.0,0.0,-62.83754762051706,0.0,0.0
32,cub,hideit_base_patch16_224.fb_in1k,,,,88.66,0.03,78.668,0.0,0.0,13.399,0.0,0.0,17.032308661506068,0.0,0.0,-40.026606646885725,0.0,0.0
32,cub,hiresnet50.a1_in1k,,,,85.71,0.0001,83.813,0.0,0.0,1.8524,0.0,0.0,2.210127488898546,0.0,0.0,-5.53502118192263,0.0,0.0
32,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,87.23,0.01,81.633,0.0,0.0,6.2074,0.0,0.0,7.604042299660348,0.0,0.0,-18.546183128448597,0.0,0.0
32,cub,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,87.37,0.01,81.129,0.0,0.0,7.0347,0.0,0.0,8.670953388051137,0.0,0.0,-21.017263788695505,0.0,0.0
32,cub,hiresnet50.gluon_in1k,,,,85.48,0.01,81.578,0.0,0.0,4.4521,0.0,0.0,5.457503971544383,0.0,0.0,-13.301792730003989,0.0,0.0
32,cub_baseline,hiresnet50.in1k_mocov3,,,,85.6231,0.03,83.5899,0.0,0.0,2.3789,0.0,0.0,2.845878864369851,0.0,0.0,-7.108144809427301,0.0,0.0
32,cub_baseline,hiresnet50.in1k_spark,,,,77.6666,5e-05,71.2427,0.0,0.0,7.5846,0.0,0.0,10.646168990839133,0.0,0.0,-22.64738024159847,0.0,0.0
32,cub_baseline,hiresnet50.in1k_supcon,,,,86.5205,0.01,81.0252,0.0,0.0,6.2324,0.0,0.0,7.691981415560079,0.0,0.0,-18.620412471199977,0.0,0.0
32,cub_baseline,hiresnet50.in1k_swav,,,,86.417,5e-05,84.7877,0.0,0.0,2.1724,0.0,0.0,2.5622007552467947,0.0,0.0,-6.491672799037146,0.0,0.0
32,cub_baseline,hiresnet50.in21k_miil,,,,88.6779,0.01,86.2392,0.0,0.0,2.916,0.0,0.0,3.38131627684695,0.0,0.0,-8.714249185889082,0.0,0.0
